source,target,relation,weight
pilar keempat demokrasi,kebebasan pers,successor,2
pilar keempat demokrasi,demokrasi,successor,1
pilar keempat demokrasi,reformasi,peer,3
pilar keempat demokrasi,uu no. 40/1999 tentang pers,peer,3
pilar keempat demokrasi,siupp,peer,1
pilar keempat demokrasi,q_ef1db8969b,has_question,1
pilar keempat demokrasi,peran media dalam pemerintahan,successor,1
pilar keempat demokrasi,penghapusan siupp,peer,1
pilar keempat demokrasi,q_a655432138,has_question,1
pilar keempat demokrasi,tantangan kebebasan pers saat ini,successor,1
pilar keempat demokrasi,sistem politik indonesia,successor,1
pilar keempat demokrasi,fungsi pers,peer,1
q_710a23861f,mengingat,requires_method,1
kebebasan pers,q_e25e5580fc,has_question,1
kebebasan pers,uu no. 40/1999 tentang pers,successor,2
kebebasan pers,membredel media,peer,1
kebebasan pers,siupp,peer,3
kebebasan pers,orde baru,peer,2
kebebasan pers,q_1f6b2fe458,has_question,1
kebebasan pers,literasi digital,successor,1
kebebasan pers,regulasi media,successor,1
kebebasan pers,hoaks (berita bohong),peer,1
kebebasan pers,dampak negatif media sosial,peer,1
kebebasan pers,q_1628ffd4f3,has_question,1
kebebasan pers,peran pers dalam demokrasi,successor,1
kebebasan pers,harmoko (menteri penerangan orba),peer,1
kebebasan pers,pembredelan media,peer,2
kebebasan pers,q_5786bf5501,has_question,1
kebebasan pers,dampak uu pers no. 40/1999,successor,1
kebebasan pers,perkembangan media pasca reformasi,successor,1
faktor pengaruh keragaman alam,gunung api aktif,has_concept,1
faktor pengaruh keragaman alam,jumlah gunung api,has_concept,1
gunung api aktif,q_87401ca0be,has_question,1
gunung api aktif,kondisi geologis indonesia,successor,1
gunung api aktif,jumlah gunung api,peer,1
gunung api aktif,q_fdd4bb75bd,has_question,1
gunung api aktif,analisis dampak bencana alam,successor,1
gunung api aktif,mitigasi bencana,successor,1
gunung api aktif,kondisi alam,peer,1
gunung api aktif,bencana,peer,1
gunung api aktif,manfaat,peer,1
jumlah gunung api,q_87401ca0be,has_question,1
jumlah gunung api,kondisi geologis indonesia,successor,1
jumlah gunung api,gunung api aktif,peer,1
q_87401ca0be,mengingat,requires_method,1
keragaman alam indonesia,gunung api aktif,prerequisite,1
keragaman alam indonesia,jumlah gunung api,prerequisite,1
revolusi nasional,peserta perjuangan fisik,has_subtopic,1
revolusi nasional,tentara resmi (tkr),prerequisite,1
revolusi nasional,laskar rakyat,prerequisite,1
revolusi nasional,laskar hizbullah,prerequisite,1
revolusi nasional,sabilillah,prerequisite,1
revolusi nasional,peran tokoh dalam revolusi,has_subtopic,1
revolusi nasional,peran rakyat dalam perjuangan,has_subtopic,1
revolusi nasional,munculnya laskar rakyat,has_subtopic,1
revolusi nasional,peran laskar rakyat dan tkr,has_subtopic,1
revolusi nasional,peran seniman dalam semangat juang rakyat,has_subtopic,1
peserta perjuangan fisik,tentara resmi (tkr),has_concept,1
peserta perjuangan fisik,laskar rakyat,has_concept,1
peserta perjuangan fisik,laskar hizbullah,has_concept,1
peserta perjuangan fisik,sabilillah,has_concept,1
tentara resmi (tkr),q_a99540f6ed,has_question,1
tentara resmi (tkr),penyebaran berita proklamasi,successor,1
tentara resmi (tkr),laskar rakyat,peer,1
tentara resmi (tkr),laskar hizbullah,peer,1
tentara resmi (tkr),sabilillah,peer,1
tentara resmi (tkr),q_c0ab7d94e8,has_question,1
tentara resmi (tkr),strategi perjuangan revolusi,successor,1
tentara resmi (tkr),peran kelompok sosial dalam sejarah,successor,1
tentara resmi (tkr),laskar rakyat (milisi) independen,peer,1
tentara resmi (tkr),peran rakyat dalam perjuangan,peer,1
tentara resmi (tkr),motivasi pembentukan milisi,peer,1
laskar rakyat,q_a99540f6ed,has_question,1
laskar rakyat,penyebaran berita proklamasi,successor,1
laskar rakyat,tentara resmi (tkr),peer,1
laskar rakyat,laskar hizbullah,peer,1
laskar rakyat,sabilillah,peer,1
laskar rakyat,q_4791d73df0,has_question,1
laskar rakyat,peran tokoh lain dalam revolusi,successor,1
laskar rakyat,aspek-aspek revolusi sosial,successor,1
laskar rakyat,peran ismail marzuki,peer,1
laskar rakyat,revolusi sosial,peer,1
laskar hizbullah,q_a99540f6ed,has_question,1
laskar hizbullah,penyebaran berita proklamasi,successor,1
laskar hizbullah,tentara resmi (tkr),peer,1
laskar hizbullah,laskar rakyat,peer,1
laskar hizbullah,sabilillah,peer,1
sabilillah,q_a99540f6ed,has_question,1
sabilillah,penyebaran berita proklamasi,successor,1
sabilillah,tentara resmi (tkr),peer,1
sabilillah,laskar rakyat,peer,1
sabilillah,laskar hizbullah,peer,1
q_a99540f6ed,mengingat,requires_method,1
pengawasan industri fintech indonesia,fintech,has_concept,1
pengawasan industri fintech indonesia,crowdfunding,has_concept,1
pengawasan industri fintech indonesia,microfinance,has_concept,1
pengawasan industri fintech indonesia,lembaga pengawas,has_concept,1
fintech,q_511b6ac234,has_question,1
fintech,regulasi fintech,successor,3
fintech,dampak fintech,successor,1
fintech,crowdfunding,peer,4
fintech,microfinance,peer,3
fintech,lembaga pengawas,peer,1
fintech,q_6556678603,has_question,1
fintech,analisis risiko dan manfaat fintech,successor,1
fintech,pertumbuhan ekonomi,peer,1
fintech,dampak negatif,peer,1
fintech,q_23389966c1,has_question,1
fintech,ekonomi digital,prerequisite,2
fintech,dampak ekonomi digital pada umkm,successor,1
lembaga pengawas,q_511b6ac234,has_question,1
lembaga pengawas,regulasi fintech,successor,1
lembaga pengawas,dampak fintech,successor,1
lembaga pengawas,fintech,peer,1
lembaga pengawas,crowdfunding,peer,1
lembaga pengawas,microfinance,peer,1
q_511b6ac234,mengingat,requires_method,1
definisi ekonomi digital,fintech,prerequisite,2
definisi ekonomi digital,crowdfunding,prerequisite,2
definisi ekonomi digital,microfinance,prerequisite,1
definisi ekonomi digital,lembaga pengawas,prerequisite,1
definisi ekonomi digital,pertumbuhan ekonomi,prerequisite,1
definisi ekonomi digital,dampak negatif,prerequisite,1
jenis-jenis fintech,fintech,prerequisite,1
jenis-jenis fintech,crowdfunding,prerequisite,1
jenis-jenis fintech,microfinance,prerequisite,2
jenis-jenis fintech,lembaga pengawas,prerequisite,1
jenis-jenis fintech,p2p lending,prerequisite,1
jenis-jenis fintech,target pengguna,prerequisite,1
jenis-jenis fintech,perlindungan ojk,prerequisite,1
sejarah reformasi,media yang dibredel orde baru,has_subtopic,1
sejarah reformasi,reformasi,prerequisite,1
sejarah reformasi,uu no. 40/1999 tentang pers,prerequisite,1
sejarah reformasi,pilar keempat demokrasi,prerequisite,1
sejarah reformasi,fungsi pers,prerequisite,1
media yang dibredel orde baru,pembredelan media,has_concept,1
media yang dibredel orde baru,siupp,has_concept,1
media yang dibredel orde baru,majalah tempo,has_concept,1
pembredelan media,q_d94c883add,has_question,1
pembredelan media,uu no. 40/1999 tentang pers,successor,2
pembredelan media,siupp,peer,3
pembredelan media,majalah tempo,peer,1
pembredelan media,q_1628ffd4f3,has_question,1
pembredelan media,peran pers dalam demokrasi,successor,1
pembredelan media,harmoko (menteri penerangan orba),peer,1
pembredelan media,kebebasan pers,peer,2
pembredelan media,q_5786bf5501,has_question,1
pembredelan media,dampak uu pers no. 40/1999,successor,1
pembredelan media,perkembangan media pasca reformasi,successor,1
pembredelan media,orde baru,peer,1
majalah tempo,q_d94c883add,has_question,1
majalah tempo,uu no. 40/1999 tentang pers,successor,1
majalah tempo,pembredelan media,peer,1
majalah tempo,siupp,peer,1
q_d94c883add,mengingat,requires_method,1
hubungan internasional,blok persaingan perang dingin,has_subtopic,1
hubungan internasional,pendorong kerja sama antarnegara,has_subtopic,1
hubungan internasional,definisi kerja sama internasional,has_subtopic,1
hubungan internasional,paradigma liberalisme dalam isu global,has_subtopic,1
hubungan internasional,kerja sama internasional,prerequisite,2
hubungan internasional,interdependensi antarnegara,prerequisite,1
hubungan internasional,penyelesaian masalah internasional,prerequisite,1
hubungan internasional,paradigma liberalisme,prerequisite,1
hubungan internasional,kerja sama dalam perang dingin,has_subtopic,1
hubungan internasional,perang dingin,prerequisite,1
hubungan internasional,persaingan antar blok,prerequisite,1
hubungan internasional,paradigma realisme,prerequisite,1
hubungan internasional,bentuk kerja sama internasional,has_subtopic,2
hubungan internasional,paradigma dalam kebijakan luar negeri,has_subtopic,1
hubungan internasional,konsep realisme kooperatif,has_subtopic,1
blok persaingan perang dingin,blok besar perang dingin,has_concept,1
blok persaingan perang dingin,persaingan antarnegara,has_concept,1
blok besar perang dingin,q_aa8ba72931,has_question,1
blok besar perang dingin,dampak perang dingin,successor,1
blok besar perang dingin,perang dingin pasca perang dunia ii,successor,1
blok besar perang dingin,persaingan antarnegara,peer,1
persaingan antarnegara,q_aa8ba72931,has_question,1
persaingan antarnegara,dampak perang dingin,successor,1
persaingan antarnegara,perang dingin pasca perang dunia ii,successor,1
persaingan antarnegara,blok besar perang dingin,peer,1
q_aa8ba72931,mengingat,requires_method,1
ketenagakerjaan dan upah,singkatan upah minimum,has_subtopic,1
ketenagakerjaan dan upah,perbedaan ump dan umk,has_subtopic,1
ketenagakerjaan dan upah,perbedaan besaran umk dan ump,has_subtopic,1
singkatan upah minimum,ump,has_concept,1
singkatan upah minimum,umk,has_concept,1
ump,q_19780ebffc,has_question,1
ump,jenis-jenis sistem pemberian upah,successor,1
ump,umk,peer,1
umk,q_19780ebffc,has_question,1
umk,jenis-jenis sistem pemberian upah,successor,1
umk,ump,peer,1
q_19780ebffc,mengingat,requires_method,1
konsep dasar mengenai upah,ump,prerequisite,1
konsep dasar mengenai upah,umk,prerequisite,1
sosiologi dasar,syarat terjadinya interaksi sosial,has_subtopic,1
syarat terjadinya interaksi sosial,interaksi sosial,has_concept,1
syarat terjadinya interaksi sosial,kontak sosial,has_concept,1
syarat terjadinya interaksi sosial,komunikasi,has_concept,1
interaksi sosial,q_f83a4f5e3c,has_question,1
interaksi sosial,bentuk-bentuk interaksi sosial,successor,1
interaksi sosial,kontak sosial,peer,6
interaksi sosial,komunikasi,peer,6
interaksi sosial,definisi kerja sama,has_subtopic,1
interaksi sosial,q_09eae0dee7,has_question,1
interaksi sosial,syarat terjadinya interaksi sosial,successor,1
interaksi sosial,perbedaan konflik peran dan ketegangan peran,has_subtopic,1
interaksi sosial,bentuk interaksi sosial,has_subtopic,1
interaksi sosial,q_f8d546a592,has_question,1
interaksi sosial,jenis-jenis interaksi sosial,successor,1
interaksi sosial,q_4d3d3c6576,has_question,1
interaksi sosial,teori interaksi sosial lainnya,successor,1
interaksi sosial,studi tentang stratifikasi sosial,successor,1
interaksi sosial,georg simmel,peer,1
interaksi sosial,fenomena sosial,peer,1
interaksi sosial,stigma sosial,peer,1
interaksi sosial,q_47c874e72a,has_question,1
interaksi sosial,dinamika sosial budaya,successor,1
interaksi sosial,integrasi sosial,successor,1
interaksi sosial,negara kepulauan,peer,1
interaksi sosial,konflik etnosentrisme,peer,1
interaksi sosial,budaya,peer,1
interaksi sosial,q_e2610f7ff7,has_question,1
interaksi sosial,kontravensi,prerequisite,2
interaksi sosial,pertentangan (konflik),prerequisite,2
interaksi sosial,konflik,successor,1
interaksi sosial,penyelesaian konflik,successor,2
interaksi sosial,q_9fcee13c9c,has_question,1
interaksi sosial,interaksi asosiatif,successor,1
interaksi sosial,penyelesaian konflik sosial,successor,1
interaksi sosial,interaksi disosiatif,peer,1
interaksi sosial,dampak sosial,peer,1
interaksi sosial,tatanan masyarakat,peer,1
interaksi sosial,q_3d4d9b86c2,has_question,1
interaksi sosial,literasi digital,successor,1
interaksi sosial,kewarganegaraan digital,successor,1
interaksi sosial,respect (penghormatan),peer,1
interaksi sosial,educate (pendidikan/kesadaran),peer,1
interaksi sosial,dunia digital,peer,1
interaksi sosial,q_802f3ae493,has_question,1
interaksi sosial,analisis bentuk-bentuk interaksi sosial,successor,1
interaksi sosial,penerapan konsep sosiologi dalam konteks sosial,successor,1
interaksi sosial,kerja sama (gotong royong),peer,1
interaksi sosial,q_d7e47e35ea,has_question,1
interaksi sosial,manajemen konflik,prerequisite,2
interaksi sosial,pembentukan norma sosial,successor,1
kontak sosial,q_f83a4f5e3c,has_question,1
kontak sosial,bentuk-bentuk interaksi sosial,successor,1
kontak sosial,interaksi sosial,peer,7
kontak sosial,komunikasi,peer,6
kontak sosial,q_09eae0dee7,has_question,1
kontak sosial,syarat terjadinya interaksi sosial,successor,1
kontak sosial,q_f8d546a592,has_question,1
kontak sosial,jenis-jenis interaksi sosial,successor,1
kontak sosial,kontravensi,prerequisite,1
kontak sosial,pertentangan (konflik),prerequisite,1
kontak sosial,q_802f3ae493,has_question,1
kontak sosial,analisis bentuk-bentuk interaksi sosial,successor,1
kontak sosial,penerapan konsep sosiologi dalam konteks sosial,successor,1
kontak sosial,kerja sama (gotong royong),peer,1
kontak sosial,q_d7e47e35ea,has_question,1
kontak sosial,manajemen konflik,prerequisite,2
kontak sosial,penyelesaian konflik,successor,1
kontak sosial,pembentukan norma sosial,successor,1
komunikasi,q_f83a4f5e3c,has_question,1
komunikasi,bentuk-bentuk interaksi sosial,successor,1
komunikasi,interaksi sosial,peer,7
komunikasi,kontak sosial,peer,6
komunikasi,q_09eae0dee7,has_question,1
komunikasi,syarat terjadinya interaksi sosial,successor,1
komunikasi,q_f8d546a592,has_question,1
komunikasi,jenis-jenis interaksi sosial,successor,1
komunikasi,kontravensi,prerequisite,1
komunikasi,pertentangan (konflik),prerequisite,1
komunikasi,q_802f3ae493,has_question,1
komunikasi,analisis bentuk-bentuk interaksi sosial,successor,1
komunikasi,penerapan konsep sosiologi dalam konteks sosial,successor,1
komunikasi,kerja sama (gotong royong),peer,1
komunikasi,q_d7e47e35ea,has_question,1
komunikasi,manajemen konflik,prerequisite,2
komunikasi,penyelesaian konflik,successor,1
komunikasi,pembentukan norma sosial,successor,1
q_f83a4f5e3c,mengingat,requires_method,1
definisi interaksi sosial,interaksi sosial,prerequisite,5
definisi interaksi sosial,kontak sosial,prerequisite,4
definisi interaksi sosial,komunikasi,prerequisite,4
definisi interaksi sosial,interaksi disosiatif,prerequisite,2
definisi interaksi sosial,persaingan,prerequisite,1
definisi interaksi sosial,kerja sama,prerequisite,1
definisi interaksi sosial,dampak sosial,prerequisite,1
definisi interaksi sosial,tatanan masyarakat,prerequisite,1
definisi interaksi sosial,kerja sama (gotong royong),prerequisite,1
sejarah dan tokoh lokal,tokoh yang dibunuh dan konflik demak,has_subtopic,1
sejarah dan tokoh lokal,hubungan sebab akibat tokoh daerah,has_subtopic,1
sejarah dan tokoh lokal,strategi alternatif tokoh sejarah,has_subtopic,1
tokoh yang dibunuh dan konflik demak,tokoh sejarah lokal,has_concept,1
tokoh yang dibunuh dan konflik demak,arya penangsang,has_concept,1
tokoh yang dibunuh dan konflik demak,konflik kerajaan demak,has_concept,1
tokoh sejarah lokal,q_f3b1d6c8c4,has_question,1
tokoh sejarah lokal,perjuangan tokoh daerah melawan bangsa asing,successor,1
tokoh sejarah lokal,arya penangsang,peer,1
tokoh sejarah lokal,konflik kerajaan demak,peer,1
arya penangsang,q_f3b1d6c8c4,has_question,1
arya penangsang,perjuangan tokoh daerah melawan bangsa asing,successor,1
arya penangsang,tokoh sejarah lokal,peer,1
arya penangsang,konflik kerajaan demak,peer,1
konflik kerajaan demak,q_f3b1d6c8c4,has_question,1
konflik kerajaan demak,perjuangan tokoh daerah melawan bangsa asing,successor,1
konflik kerajaan demak,tokoh sejarah lokal,peer,1
konflik kerajaan demak,arya penangsang,peer,1
q_f3b1d6c8c4,mengingat,requires_method,1
sejarah lokal,tokoh sejarah lokal,prerequisite,1
sejarah lokal,arya penangsang,prerequisite,1
sejarah lokal,konflik kerajaan demak,prerequisite,1
sejarah lokal,sultan nuku,prerequisite,4
sejarah lokal,strategi diplomasi,prerequisite,1
sejarah lokal,perjuangan melawan bangsa asing,prerequisite,1
sejarah lokal,kegigihan,prerequisite,1
sejarah lokal,perjuangan tokoh daerah,prerequisite,1
sejarah lokal,kekuatan militer,prerequisite,1
sejarah lokal,aliansi multikultur (papua),prerequisite,1
sejarah lokal,diplomasi internasional (inggris),prerequisite,1
sejarah lokal,persatuan maluku dan papua,prerequisite,1
sejarah lokal,semangat perjuangan,prerequisite,1
definisi iklim,iklim,has_concept,1
definisi iklim,cuaca,has_concept,1
definisi iklim,q_b435586970,has_question,1
definisi iklim,faktor-faktor yang memengaruhi iklim,successor,1
definisi iklim,definisi cuaca,peer,1
definisi iklim,durasi waktu,peer,1
definisi iklim,cakupan wilayah,peer,1
iklim,q_a6a43e91eb,has_question,1
iklim,jenis-jenis iklim,successor,1
iklim,cuaca,peer,2
iklim,q_4ad0827ad8,has_question,1
iklim,perancangan kampanye komunikasi,successor,1
iklim,musim pancaroba,peer,1
iklim,slogan kampanye kesehatan,peer,1
cuaca,q_a6a43e91eb,has_question,1
cuaca,iklim,prerequisite,3
cuaca,jenis-jenis iklim,successor,1
cuaca,q_4ad0827ad8,has_question,1
cuaca,perancangan kampanye komunikasi,successor,1
cuaca,musim pancaroba,peer,1
cuaca,slogan kampanye kesehatan,peer,1
q_a6a43e91eb,mengingat,requires_method,1
komponen neraca pembayaran,neraca pembayaran,has_concept,3
komponen neraca pembayaran,komponen utama neraca pembayaran,has_concept,1
komponen neraca pembayaran,transaksi berjalan,has_concept,1
komponen neraca pembayaran,transaksi ekonomi digital,has_concept,1
komponen neraca pembayaran,kewajiban pembayaran,has_concept,1
komponen neraca pembayaran,justifikasi ekonomi,has_concept,1
komponen utama neraca pembayaran,q_d794171336,has_question,1
komponen utama neraca pembayaran,jenis-jenis transaksi dalam neraca pembayaran,successor,1
komponen utama neraca pembayaran,neraca pembayaran,peer,1
q_d794171336,mengingat,requires_method,1
definisi neraca pembayaran,neraca pembayaran,prerequisite,5
definisi neraca pembayaran,komponen utama neraca pembayaran,prerequisite,1
definisi neraca pembayaran,transaksi berjalan,prerequisite,2
definisi neraca pembayaran,ekspor,prerequisite,1
definisi neraca pembayaran,impor,prerequisite,2
definisi neraca pembayaran,neraca perdagangan,prerequisite,1
definisi neraca pembayaran,surplus/defisit,prerequisite,1
definisi neraca pembayaran,transaksi debit,prerequisite,1
definisi neraca pembayaran,pendapatan primer,prerequisite,1
definisi neraca pembayaran,pendapatan sekunder,prerequisite,1
definisi neraca pembayaran,surplus neraca pembayaran,prerequisite,1
definisi neraca pembayaran,kondisi perekonomian,prerequisite,1
definisi neraca pembayaran,transaksi ekonomi digital,prerequisite,1
definisi neraca pembayaran,kewajiban pembayaran,prerequisite,1
definisi neraca pembayaran,justifikasi ekonomi,prerequisite,1
cikal bakal sarekat islam,sarekat islam (si),has_concept,1
cikal bakal sarekat islam,nasionalisme indonesia,has_concept,1
sarekat islam (si),q_a61528df28,has_question,1
sarekat islam (si),faktor pendorong nasionalisme,successor,1
sarekat islam (si),nasionalisme indonesia,peer,1
sarekat islam (si),q_2655d95fd0,has_question,1
sarekat islam (si),perkembangan organisasi pergerakan nasional,successor,1
sarekat islam (si),perbedaan ideologi organisasi pergerakan,successor,1
sarekat islam (si),budi utomo,peer,1
sarekat islam (si),ruang lingkup keanggotaan,peer,1
sarekat islam (si),faktor pendorong kebangsaan,peer,1
q_a61528df28,mengingat,requires_method,1
komponen indeks pembangunan manusia,indeks pembangunan manusia (ipm),has_concept,2
komponen indeks pembangunan manusia,komponen utama ipm,has_concept,1
komponen indeks pembangunan manusia,kesehatan,has_concept,1
komponen indeks pembangunan manusia,pendidikan,has_concept,1
komponen indeks pembangunan manusia,pendapatan,has_concept,1
indeks pembangunan manusia (ipm),q_a6382ca6ff,has_question,1
indeks pembangunan manusia (ipm),indikator pembangunan lainnya,successor,2
indeks pembangunan manusia (ipm),komponen utama ipm,peer,1
indeks pembangunan manusia (ipm),q_cd8d5e2ae6,has_question,1
indeks pembangunan manusia (ipm),indeks mutu hidup (imh),peer,1
indeks pembangunan manusia (ipm),fokus pengukuran pembangunan,peer,1
indeks pembangunan manusia (ipm),persamaan dan perbedaan,peer,1
indeks pembangunan manusia (ipm),q_b38bf766de,has_question,1
indeks pembangunan manusia (ipm),analisis faktor penentu kualitas sdm,successor,1
indeks pembangunan manusia (ipm),perbandingan indikator pembangunan,successor,2
indeks pembangunan manusia (ipm),usia harapan hidup,peer,1
indeks pembangunan manusia (ipm),pendidikan,peer,2
indeks pembangunan manusia (ipm),pendapatan,peer,2
indeks pembangunan manusia (ipm),q_efa6896a6f,has_question,1
indeks pembangunan manusia (ipm),analisis perbandingan ipm antar negara,successor,1
indeks pembangunan manusia (ipm),kebijakan pembangunan berkelanjutan,successor,1
indeks pembangunan manusia (ipm),kesehatan,peer,1
indeks pembangunan manusia (ipm),q_3e93df4a30,has_question,1
indeks pembangunan manusia (ipm),analisis kualitas sdm,successor,1
indeks pembangunan manusia (ipm),pendapatan nasional kasar (pnk),peer,1
indeks pembangunan manusia (ipm),indikator kesejahteraan,peer,1
komponen utama ipm,q_a6382ca6ff,has_question,1
komponen utama ipm,indikator pembangunan lainnya,successor,1
komponen utama ipm,indeks pembangunan manusia (ipm),peer,1
q_a6382ca6ff,mengingat,requires_method,1
keputusan sidang ppki i,presiden,has_concept,1
keputusan sidang ppki i,wakil presiden,has_concept,1
keputusan sidang ppki i,sidang ppki i,has_concept,1
keputusan sidang ppki i,q_cdfcda7236,has_question,1
keputusan sidang ppki i,sidang ppki ii,successor,1
keputusan sidang ppki i,pembentukan struktur pemerintahan negara,successor,1
keputusan sidang ppki i,pengesahan uud 1945,peer,1
keputusan sidang ppki i,konsekuensi kegagalan konstitusi,peer,1
presiden,q_cc6eae27b6,has_question,1
presiden,sidang ppki ii,successor,1
presiden,wakil presiden,peer,1
presiden,sidang ppki i,peer,1
wakil presiden,q_cc6eae27b6,has_question,1
wakil presiden,sidang ppki ii,successor,1
wakil presiden,presiden,peer,1
wakil presiden,sidang ppki i,peer,1
q_cc6eae27b6,mengingat,requires_method,1
pembentukan ppki,presiden,prerequisite,1
pembentukan ppki,wakil presiden,prerequisite,1
pembentukan ppki,sidang ppki i,prerequisite,2
pembentukan ppki,fungsi knip sebelum maklumat wakil presiden no. x,prerequisite,1
pembentukan ppki,fungsi knip sesudah maklumat wakil presiden no. x,prerequisite,1
pembentukan ppki,pengangkatan presiden,prerequisite,1
pembentukan ppki,sidang ppki iii,prerequisite,1
pembentukan ppki,pembentukan knip,prerequisite,1
interaksi nusantara,perdagangan jalur sutra,has_subtopic,1
interaksi nusantara,pertukaran budaya pedagang india,has_subtopic,1
interaksi nusantara,peran strategis kerajaan ko-ying,has_subtopic,1
interaksi nusantara,faktor pendorong interaksi sosial budaya,has_subtopic,1
interaksi nusantara,pengaruh budaya asing dan geografis,has_subtopic,1
perdagangan jalur sutra,komoditas utama,has_concept,1
perdagangan jalur sutra,cina,has_concept,1
perdagangan jalur sutra,jalur sutra,has_concept,1
komoditas utama,q_03748bc5fd,has_question,1
komoditas utama,angin muson,successor,1
komoditas utama,cina,peer,1
komoditas utama,jalur sutra,peer,1
cina,q_03748bc5fd,has_question,1
cina,angin muson,successor,1
cina,komoditas utama,peer,1
cina,jalur sutra,peer,1
q_03748bc5fd,recall,requires_method,1
angin muson,q_ce664a36a9,has_question,1
angin muson,dampak geopolitik jalur perdagangan,successor,1
angin muson,peran kerajaan maritim,successor,1
angin muson,peran strategis selat malaka,peer,1
angin muson,peran jalur sutra darat,peer,1
angin muson,perdagangan komoditas,peer,1
peristiwa gerakan 30 september 1965,gerakan 30 september (g30s) 1965,has_concept,1
peristiwa gerakan 30 september 1965,pki sebagai dalang,has_concept,1
peristiwa gerakan 30 september 1965,mayjen soeharto,has_concept,1
peristiwa gerakan 30 september 1965,presiden soekarno,prerequisite,1
peristiwa gerakan 30 september 1965,supersemar 1966,prerequisite,1
peristiwa gerakan 30 september 1965,mandat,prerequisite,1
peristiwa gerakan 30 september 1965,angkatan darat,prerequisite,1
gerakan 30 september (g30s) 1965,q_5058a277be,has_question,1
gerakan 30 september (g30s) 1965,penumpasan g30s,successor,1
gerakan 30 september (g30s) 1965,demonstrasi mahasiswa tritura,successor,1
gerakan 30 september (g30s) 1965,pki sebagai dalang,peer,1
gerakan 30 september (g30s) 1965,mayjen soeharto,peer,1
gerakan 30 september (g30s) 1965,q_c68f422597,has_question,1
gerakan 30 september (g30s) 1965,penumpasan oleh soeharto,successor,1
gerakan 30 september (g30s) 1965,dampak politik pasca-g30s,successor,1
gerakan 30 september (g30s) 1965,peran mahasiswa (kami/kappi),peer,1
gerakan 30 september (g30s) 1965,tritura,peer,2
gerakan 30 september (g30s) 1965,pergantian kekuasaan,peer,1
gerakan 30 september (g30s) 1965,q_526070b1de,has_question,1
gerakan 30 september (g30s) 1965,era orde baru,successor,1
gerakan 30 september (g30s) 1965,perkembangan politik pasca-g30s,successor,1
gerakan 30 september (g30s) 1965,peran pki,peer,1
gerakan 30 september (g30s) 1965,konsekuensi politik,peer,1
pki sebagai dalang,q_5058a277be,has_question,1
pki sebagai dalang,penumpasan g30s,successor,1
pki sebagai dalang,demonstrasi mahasiswa tritura,successor,1
pki sebagai dalang,gerakan 30 september (g30s) 1965,peer,1
pki sebagai dalang,mayjen soeharto,peer,1
mayjen soeharto,q_5058a277be,has_question,1
mayjen soeharto,penumpasan g30s,successor,1
mayjen soeharto,demonstrasi mahasiswa tritura,successor,1
mayjen soeharto,gerakan 30 september (g30s) 1965,peer,1
mayjen soeharto,pki sebagai dalang,peer,1
mayjen soeharto,q_74c2eeb3de,has_question,1
mayjen soeharto,perkembangan politik pasca-g30s,successor,1
mayjen soeharto,orde baru,successor,1
mayjen soeharto,supersemar,peer,1
mayjen soeharto,konsekuensi politik,peer,1
mayjen soeharto,era demokrasi terpimpin,peer,1
q_5058a277be,mengingat,requires_method,1
peristiwa demokrasi terpimpin,gerakan 30 september (g30s) 1965,prerequisite,1
peristiwa demokrasi terpimpin,pki sebagai dalang,prerequisite,1
peristiwa demokrasi terpimpin,mayjen soeharto,prerequisite,1
definisi pendapatan nasional,pendapatan nasional,has_concept,1
definisi pendapatan nasional,produk domestik bruto (pdb),has_concept,3
definisi pendapatan nasional,produk nasional bruto (pnb),has_concept,3
definisi pendapatan nasional,pengukuran kesehatan ekonomi,prerequisite,1
pendapatan nasional,q_fd6fbf3fbb,has_question,1
pendapatan nasional,perbedaan pdb dan pnb,successor,1
pendapatan nasional,produk domestik bruto (pdb),peer,1
pendapatan nasional,produk nasional bruto (pnb),peer,1
pendapatan nasional,q_80d1268c59,has_question,1
pendapatan nasional,perbedaan antara pendekatan pengeluaran dan pendekatan pendapatan,successor,1
pendapatan nasional,"komponen pendapatan (gaji, sewa, bunga, laba)",peer,1
produk nasional bruto (pnb),q_fd6fbf3fbb,has_question,1
produk nasional bruto (pnb),perbedaan pdb dan pnb,successor,1
produk nasional bruto (pnb),pendapatan nasional,peer,1
produk nasional bruto (pnb),produk domestik bruto (pdb),peer,3
produk nasional bruto (pnb),q_6e50b5ef75,has_question,1
produk nasional bruto (pnb),analisis indikator ekonomi lain,successor,1
produk nasional bruto (pnb),pengukuran kesehatan ekonomi,peer,1
produk nasional bruto (pnb),q_99fd5fa970,has_question,1
produk nasional bruto (pnb),analisis dampak kebijakan ekonomi,successor,1
q_fd6fbf3fbb,mengingat,requires_method,1
konsep dasar ekonomi,pendapatan nasional,prerequisite,1
konsep dasar ekonomi,produk domestik bruto (pdb),prerequisite,1
konsep dasar ekonomi,produk nasional bruto (pnb),prerequisite,1
konsep dasar ekonomi,perkembangan teknologi,prerequisite,1
konsep dasar ekonomi,konsep pasar,prerequisite,1
definisi kerja sama,interaksi sosial,has_concept,1
definisi kerja sama,kontak sosial,has_concept,1
definisi kerja sama,komunikasi,has_concept,1
q_09eae0dee7,mengingat,requires_method,1
asal istilah 'homo economicus',bahasa yunani,has_concept,1
