id,type,label,bloom_level,difficulty,frequency
faktor-faktor pengaruh interaksi wilayah,topic_fine,Faktor-faktor pengaruh interaksi wilayah,,,
faktor utama interaksi wilayah,concept,Faktor utama interaksi wilayah,C1-Mengingat,1.0,1.0
edward ullman,concept,Edward Ullman,C1-Mengingat,1.0,1.0
q_661175838f,question,Siapakah tokoh yang menyebutkan tiga faktor utama yang memengaruhi interaksi wilayah?,C1-Mengingat,1.0,
konektivitas antarruang,concept,Konektivitas antarruang,,,
saling melengkapi,concept,Saling Melengkapi,C5-Mengevaluasi,5.0,3.0
tahapan pemanfaatan sumber daya tambang,topic_fine,Tahapan pemanfaatan sumber daya tambang,C1-Mengingat,1.0,1.0
pemanfaatan sumber daya,concept,Pemanfaatan sumber daya,C1-Mengingat,1.0,1.0
sumber daya tambang,concept,Sumber daya tambang,C1-Mengingat,1.0,1.0
q_53ff142d59,question,Sebutkan empat tahapan dalam kegiatan pemanfaatan sumber daya tambang secara berurutan,C1-Mengingat,1.0,
pengetahuan dasar tentang sumber daya alam,concept,Pengetahuan dasar tentang sumber daya alam,,,
jenis-jenis sumber daya alam,concept,Jenis-jenis sumber daya alam,,,
aspek kelestarian sumber daya alam,concept,Aspek kelestarian sumber daya alam,,,
kepanjangan sustainable development goals,topic_fine,Kepanjangan Sustainable Development Goals,,,
sdgs,concept,SDGs,C1-Mengingat,1.0,1.0
tujuan pembangunan berkelanjutan,concept,Tujuan Pembangunan Berkelanjutan,C1-Mengingat,1.0,1.0
q_52557e7c11,question,Apa kepanjangan dari singkatan SDGs yang dibahas dalam teks?,C1-Mengingat,1.0,
target pencapaian sdgs,concept,Target pencapaian SDGs,,,
keterkaitan kemiskinan dan modal budaya,topic_fine,Keterkaitan Kemiskinan dan Modal Budaya,,,
kemiskinan,concept,Kemiskinan,C5-Mengevaluasi,5.0,4.0
modal budaya,concept,Modal Budaya,C1-Mengingat,1.0,1.0
tokoh sosiologi,concept,Tokoh Sosiologi,C1-Mengingat,1.0,1.0
q_d1aa78d799,question,Siapakah tokoh sosiologi yang mengaitkan kemiskinan dengan kurangnya 'modal budaya'?,C1-Mengingat,1.0,
konsep dasar sosiologi,concept,Konsep dasar sosiologi,,,
teori pembangunan sosial,concept,Teori pembangunan sosial,,,
studi tentang stratifikasi sosial,concept,Studi tentang stratifikasi sosial,,,
biologi keanekaragaman hayati,topic_coarse,Biologi Keanekaragaman Hayati,,,
fauna endemik indonesia,topic_fine,Fauna Endemik Indonesia,,,
fauna endemik,concept,Fauna Endemik,C6-Mencipta,5.0,4.0
contoh hewan endemik,concept,Contoh hewan endemik,C1-Mengingat,1.0,1.0
daerah asal hewan,concept,Daerah asal hewan,C1-Mengingat,1.0,1.0
q_c3d34b7055,question,Sebutkan dua contoh hewan yang merupakan fauna endemik Indonesia beserta daerah asalnya.,C1-Mengingat,1.0,
definisi fauna endemik,concept,Definisi fauna endemik,,,
flora endemik,concept,Flora Endemik,C6-Mencipta,5.0,3.0
klasifikasi fauna,concept,Klasifikasi fauna,,,
sejarah demokrasi indonesia,topic_coarse,Sejarah Demokrasi Indonesia,,,
perkembangan pers pasca reformasi,topic_fine,Perkembangan Pers Pasca Reformasi,,,
reformasi,concept,Reformasi,C5-Mengevaluasi,5.0,6.0
uu no. 40/1999 tentang pers,concept,UU No. 40/1999 tentang Pers,C5-Mengevaluasi,5.0,4.0
siupp,concept,SIUPP,C6-Mencipta,5.0,5.0
pilar keempat demokrasi,concept,Pilar Keempat Demokrasi,C5-Mengevaluasi,5.0,3.0
q_710a23861f,question,Apa sebutan untuk pers setelah era Reformasi?,C1-Mengingat,1.0,
kebebasan pers,concept,Kebebasan Pers,C6-Mencipta,5.0,4.0
demokrasi,concept,Demokrasi,,,
faktor pengaruh keragaman alam,topic_fine,Faktor Pengaruh Keragaman Alam,,,
gunung api aktif,concept,Gunung api aktif,C5-Mengevaluasi,4.0,2.0
jumlah gunung api,concept,Jumlah gunung api,C1-Mengingat,1.0,1.0
q_87401ca0be,question,Berapa jumlah gunung api aktif di Indonesia menurut teks?,C1-Mengingat,1.0,
keragaman alam indonesia,concept,Keragaman alam Indonesia,,,
kondisi geologis indonesia,concept,Kondisi geologis Indonesia,,,
revolusi nasional,topic_coarse,Revolusi Nasional,,,
peserta perjuangan fisik,topic_fine,Peserta perjuangan fisik,,,
tentara resmi (tkr),concept,Tentara Resmi (TKR),C4-Menganalisis,4.0,2.0
laskar rakyat,concept,Laskar Rakyat,C2-Memahami,2.0,2.0
laskar hizbullah,concept,Laskar Hizbullah,C1-Mengingat,1.0,1.0
sabilillah,concept,Sabilillah,C1-Mengingat,1.0,1.0
q_a99540f6ed,question,"Selain tentara resmi (TKR), siapa lagi yang ikut berjuang secara fisik?",C1-Mengingat,1.0,
penyebaran berita proklamasi,concept,Penyebaran berita proklamasi,,,
pengawasan industri fintech indonesia,topic_fine,Pengawasan Industri Fintech Indonesia,,,
fintech,concept,Fintech,C6-Mencipta,5.0,3.0
lembaga pengawas,concept,Lembaga Pengawas,C1-Mengingat,1.0,1.0
q_511b6ac234,question,Lembaga apa yang berperan penting mengawasi industri fintech di Indonesia?,C1-Mengingat,1.0,
definisi ekonomi digital,concept,Definisi Ekonomi Digital,,,
jenis-jenis fintech,concept,Jenis-jenis Fintech,,,
regulasi fintech,concept,Regulasi Fintech,,,
dampak fintech,concept,Dampak Fintech,,,
sejarah reformasi,topic_coarse,Sejarah Reformasi,,,
media yang dibredel orde baru,topic_fine,Media yang dibredel Orde Baru,,,
pembredelan media,concept,Pembredelan Media,C6-Mencipta,5.0,3.0
majalah tempo,concept,Majalah Tempo,C1-Mengingat,1.0,1.0
q_d94c883add,question,Sebutkan salah satu media yang pernah dibredel (ditutup paksa) oleh Orde Baru!,C1-Mengingat,1.0,
hubungan internasional,topic_coarse,Hubungan Internasional,,,
blok persaingan perang dingin,topic_fine,Blok Persaingan Perang Dingin,,,
blok besar perang dingin,concept,Blok besar Perang Dingin,C1-Mengingat,1.0,1.0
persaingan antarnegara,concept,Persaingan antarnegara,C1-Mengingat,1.0,1.0
q_aa8ba72931,question,Apa nama dua blok besar yang bersaing selama era Perang Dingin?,C1-Mengingat,1.0,
dampak perang dingin,concept,Dampak Perang Dingin,,,
perang dingin pasca perang dunia ii,concept,Perang Dingin Pasca Perang Dunia II,,,
ketenagakerjaan dan upah,topic_coarse,Ketenagakerjaan dan Upah,,,
singkatan upah minimum,topic_fine,Singkatan Upah Minimum,,,
ump,concept,UMP,C1-Mengingat,1.0,1.0
umk,concept,UMK,C1-Mengingat,1.0,1.0
q_19780ebffc,question,Apa kepanjangan dari UMP dan UMK?,C1-Mengingat,1.0,
konsep dasar mengenai upah,concept,Konsep dasar mengenai upah,,,
jenis-jenis sistem pemberian upah,concept,Jenis-jenis sistem pemberian upah,,,
sosiologi dasar,topic_coarse,Sosiologi Dasar,,,
syarat terjadinya interaksi sosial,topic_fine,Syarat terjadinya interaksi sosial,,,
interaksi sosial,concept,Interaksi Sosial,C6-Mencipta,5.0,10.0
kontak sosial,concept,Kontak Sosial,C6-Mencipta,5.0,5.0
komunikasi,concept,Komunikasi,C6-Mencipta,5.0,5.0
q_f83a4f5e3c,question,Sebutkan dua syarat utama terjadinya interaksi sosial!,C1-Mengingat,1.0,
definisi interaksi sosial,concept,Definisi Interaksi Sosial,,,
bentuk-bentuk interaksi sosial,concept,Bentuk-bentuk interaksi sosial,,,
sejarah dan tokoh lokal,topic_coarse,Sejarah dan Tokoh Lokal,,,
tokoh yang dibunuh dan konflik demak,topic_fine,Tokoh yang dibunuh dan konflik Demak,,,
tokoh sejarah lokal,concept,Tokoh sejarah lokal,C1-Mengingat,1.0,1.0
arya penangsang,concept,Arya Penangsang,C1-Mengingat,1.0,1.0
konflik kerajaan demak,concept,Konflik Kerajaan Demak,C1-Mengingat,1.0,1.0
q_f3b1d6c8c4,question,Siapakah tokoh yang dibunuh oleh Arya Penangsang sehingga memicu konflik di Kerajaan Demak?,C1-Mengingat,1.0,
sejarah lokal,concept,Sejarah lokal,,,
perjuangan tokoh daerah melawan bangsa asing,concept,Perjuangan tokoh daerah melawan bangsa asing,,,
definisi iklim,topic_fine,Definisi Iklim,C2-Memahami,2.0,1.0
iklim,concept,Iklim,C6-Mencipta,5.0,2.0
cuaca,concept,Cuaca,C6-Mencipta,5.0,2.0
q_a6a43e91eb,question,Apa definisi dari iklim?,C1-Mengingat,1.0,
jenis-jenis iklim,concept,Jenis-jenis Iklim,,,
komponen neraca pembayaran,topic_fine,Komponen Neraca Pembayaran,,,
komponen utama neraca pembayaran,concept,Komponen utama neraca pembayaran,C1-Mengingat,1.0,1.0
q_d794171336,question,Sebutkan tiga komponen utama neraca pembayaran menurut Bank Indonesia.,C1-Mengingat,1.0,
definisi neraca pembayaran,concept,Definisi Neraca Pembayaran,,,
cikal bakal sarekat islam,topic_fine,Cikal bakal Sarekat Islam,,,
sarekat islam (si),concept,Sarekat Islam (SI),C2-Memahami,2.0,2.0
q_a61528df28,question,Sebutkan nama organisasi yang menjadi cikal bakal dari Sarekat Islam (SI)!,C1-Mengingat,1.0,
komponen indeks pembangunan manusia,topic_fine,Komponen Indeks Pembangunan Manusia,,,
indeks pembangunan manusia (ipm),concept,Indeks Pembangunan Manusia (IPM),C5-Mengevaluasi,4.0,5.0
komponen utama ipm,concept,Komponen utama IPM,C1-Mengingat,1.0,1.0
q_a6382ca6ff,question,Sebutkan tiga komponen utama yang diukur dalam Indeks Pembangunan Manusia (IPM),C1-Mengingat,1.0,
keputusan sidang ppki i,topic_fine,Keputusan Sidang PPKI I,C6-Mencipta,5.0,1.0
presiden,concept,Presiden,C1-Mengingat,1.0,1.0
wakil presiden,concept,Wakil Presiden,C1-Mengingat,1.0,1.0
q_cc6eae27b6,question,Siapa yang diangkat sebagai Presiden dan Wakil Presiden pada Sidang PPKI I?,C1-Mengingat,1.0,
pembentukan ppki,concept,Pembentukan PPKI,,,
interaksi nusantara,topic_coarse,Interaksi Nusantara,,,
perdagangan jalur sutra,topic_fine,Perdagangan Jalur Sutra,,,
komoditas utama,concept,Komoditas utama,C1-Mengingat,1.0,1.0
cina,concept,Cina,C1-Mengingat,1.0,1.0
q_03748bc5fd,question,Sebutkan salah satu komoditas utama yang diperdagangkan dari Cina melalui Jalur Sutra.,C1-Mengingat,1.0,
angin muson,concept,Angin muson,C4-Menganalisis,4.0,1.0
peristiwa gerakan 30 september 1965,topic_fine,Peristiwa Gerakan 30 September 1965,,,
gerakan 30 september (g30s) 1965,concept,Gerakan 30 September (G30S) 1965,C6-Mencipta,5.0,3.0
pki sebagai dalang,concept,PKI sebagai dalang,C1-Mengingat,1.0,1.0
mayjen soeharto,concept,Mayjen Soeharto,C6-Mencipta,5.0,2.0
q_5058a277be,question,Siapa yang dituduh sebagai dalang G30S 1965?,C1-Mengingat,1.0,
peristiwa demokrasi terpimpin,concept,Peristiwa Demokrasi Terpimpin,,,
penumpasan g30s,concept,Penumpasan G30S,,,
demonstrasi mahasiswa tritura,concept,Demonstrasi mahasiswa TRITURA,,,
definisi pendapatan nasional,topic_fine,Definisi Pendapatan Nasional,,,
pendapatan nasional,concept,Pendapatan Nasional,C3-Menerapkan,3.0,2.0
produk nasional bruto (pnb),concept,Produk Nasional Bruto (PNB),C6-Mencipta,5.0,3.0
q_fd6fbf3fbb,question,Apa yang dimaksud dengan pendapatan nasional?,C1-Mengingat,1.0,
konsep dasar ekonomi,concept,Konsep dasar ekonomi,,,
perbedaan pdb dan pnb,concept,Perbedaan PDB dan PNB,,,
definisi kerja sama,topic_fine,Definisi Kerja Sama,,,
q_09eae0dee7,question,Apakah definisi dari kerja sama menurut teks tersebut?,C1-Mengingat,1.0,
asal istilah 'homo economicus',topic_fine,Asal Istilah 'Homo Economicus',,,
economicus,concept,economicus,C1-Mengingat,1.0,1.0
oikonomikos,concept,oikonomikos,C1-Mengingat,1.0,1.0
q_883117a08c,question,Dari bahasa Yunani apakah istilah 'economicus' berasal dan apa artinya?,C1-Mengingat,1.0,
pengenalan konsep dasar ilmu ekonomi,concept,Pengenalan konsep dasar ilmu ekonomi,,,
definisi homo economicus,concept,Definisi Homo Economicus,,,
ilmu pembangunan,topic_coarse,Ilmu Pembangunan,,,
definisi pembangunan dan perubahan,topic_fine,Definisi Pembangunan dan Perubahan,,,
pembangunan,concept,Pembangunan,C5-Mengevaluasi,4.0,4.0
perubahan konstruktif,concept,Perubahan konstruktif,C1-Mengingat,1.0,1.0
perubahan destruktif,concept,Perubahan destruktif,C1-Mengingat,1.0,1.0
q_4a6eecc6dc,question,Istilah apa yang digunakan untuk menggambarkan perubahan yang mengarah pada keburukan?,C1-Mengingat,1.0,
aspek pembangunan,concept,Aspek Pembangunan,,,
q_d98d6f1884,question,Kerja sama Indonesia dalam kelompok G20 dan WTO tergolong dalam jenis kerja sama apa?,C1-Mengingat,1.0,
ilmu lingkungan,topic_coarse,Ilmu Lingkungan,,,
definisi pemanasan global,topic_fine,Definisi Pemanasan Global,,,
pemanasan global,concept,Pemanasan Global,C6-Mencipta,5.0,10.0
peningkatan suhu permukaan bumi,concept,Peningkatan suhu permukaan bumi,C1-Mengingat,1.0,1.0
gas rumah kaca,concept,Gas Rumah Kaca,C6-Mencipta,5.0,5.0
q_b04598c24a,question,Apa definisi dari pemanasan global menurut teks?,C1-Mengingat,1.0,
konsep dasar fenomena atmosfer,concept,Konsep dasar fenomena atmosfer,,,
penyebab pemanasan global,concept,Penyebab Pemanasan Global,,,
efek rumah kaca,concept,Efek Rumah Kaca,C6-Mencipta,5.0,4.0
suhu rata-rata,concept,Suhu rata-rata,C1-Mengingat,1.0,1.0
pola cuaca,concept,Pola Cuaca,C6-Mencipta,5.0,2.0
iklim vs cuaca,concept,Iklim vs Cuaca,C1-Mengingat,1.0,1.0
q_7983855a9b,question,Apa definisi dari iklim menurut teks yang disajikan?,C1-Mengingat,1.0,
perbedaan antara cuaca dan iklim,concept,Perbedaan antara cuaca dan iklim,,,
faktor-faktor yang mempengaruhi perubahan iklim,concept,Faktor-faktor yang mempengaruhi perubahan iklim,,,
sejarah dan budaya indonesia,topic_coarse,Sejarah dan Budaya Indonesia,,,
tokoh sejarah lokal dan konflik,topic_fine,Tokoh Sejarah Lokal dan Konflik,,,
sultan nuku,concept,Sultan Nuku,C6-Mencipta,5.0,7.0
perebutan takhta tidore,concept,Perebutan takhta Tidore,C1-Mengingat,1.0,1.0
negara eropa,concept,Negara Eropa,C1-Mengingat,1.0,1.0
q_d185979acc,question,Negara Eropa manakah yang menjadi musuh utama Sultan Nuku dalam perebutan takhta Tidore?,C1-Mengingat,1.0,
kebijakan pendidikan indonesia,topic_coarse,Kebijakan Pendidikan Indonesia,,,
program bantuan sekolah dasar menengah,topic_fine,Program Bantuan Sekolah Dasar Menengah,,,
bantuan operasional sekolah (bos),concept,Bantuan Operasional Sekolah (BOS),C3-Menerapkan,3.0,3.0
pemerataan akses pendidikan,concept,Pemerataan Akses Pendidikan,C6-Mencipta,5.0,4.0
wajib belajar 9 tahun,concept,Wajib Belajar 9 tahun,C3-Menerapkan,3.0,2.0
q_2f0f710c2b,question,Apa nama program bantuan yang memberikan dana langsung ke sekolah dasar dan menengah?,C1-Mengingat,1.0,
bidikmisi,concept,Bidikmisi,C3-Menerapkan,3.0,3.0
alokasi anggaran pendidikan,concept,Alokasi Anggaran Pendidikan,C6-Mencipta,5.0,2.0
sumber emisi karbon dioksida,topic_fine,Sumber Emisi Karbon Dioksida,,,
emisi karbon dioksida (co2),concept,Emisi Karbon Dioksida (CO2),C1-Mengingat,1.0,1.0
aktivitas manusia,concept,Aktivitas Manusia,C2-Memahami,2.0,2.0
q_2f084eb799,question,Aktivitas manusia apa yang menjadi sumber utama emisi Karbon Dioksida (CO2)?,C1-Mengingat,1.0,
gas rumah kaca lainnya,concept,Gas rumah kaca lainnya,,,
dampak pemanasan global,concept,Dampak pemanasan global,,,
teori pertumbuhan ekonomi,topic_fine,Teori Pertumbuhan Ekonomi,,,
teori klasik,concept,Teori Klasik,C6-Mencipta,5.0,5.0
adam smith,concept,Adam Smith,C1-Mengingat,1.0,1.0
q_8f91252942,question,Siapa dua tokoh yang disebutkan dalam Teori Klasik?,C1-Mengingat,1.0,
definisi pertumbuhan ekonomi,concept,Definisi Pertumbuhan Ekonomi,C4-Menganalisis,4.0,1.0
teori pertumbuhan ekonomi lainnya,concept,Teori Pertumbuhan Ekonomi lainnya,,,
produksi barang dan jasa,concept,Produksi barang dan jasa,C1-Mengingat,1.0,1.0
peningkatan output negara,concept,Peningkatan output negara,C1-Mengingat,1.0,1.0
q_0158e1336e,question,Apa definisi dari pertumbuhan ekonomi?,C1-Mengingat,1.0,
konsep dasar produksi,concept,Konsep dasar produksi,,,
pengukuran produk domestik bruto,concept,Pengukuran Produk Domestik Bruto,,,
dokumen kritik elite politik,topic_fine,Dokumen Kritik Elite Politik,,,
jenderal nasution,concept,Jenderal Nasution,C1-Mengingat,1.0,1.0
ali sadikin,concept,Ali Sadikin,C1-Mengingat,1.0,1.0
dokumen kritik 1980,concept,Dokumen Kritik 1980,C1-Mengingat,1.0,1.0
q_d39007e6cd,question,Apa nama dokumen kritik yang dikeluarkan oleh Jenderal Nasution dan Ali Sadikin pada 1980?,C1-Mengingat,1.0,
kebijakan orde baru,concept,Kebijakan Orde Baru,,,
resistensi mahasiswa,concept,Resistensi Mahasiswa,,,
peristiwa politik 1970-an,concept,Peristiwa Politik 1970-an,,,
peristiwa g30s dan supersemar,topic_fine,Peristiwa G30S dan Supersemar,,,
presiden soekarno,concept,Presiden Soekarno,C3-Menerapkan,3.0,2.0
supersemar 1966,concept,Supersemar 1966,C1-Mengingat,1.0,1.0
mandat,concept,Mandat,C1-Mengingat,1.0,1.0
angkatan darat,concept,Angkatan Darat,C1-Mengingat,1.0,1.0
q_57e02c8829,question,Siapa yang diberi mandat oleh Presiden Soekarno melalui Supersemar 1966?,C1-Mengingat,1.0,
era orde baru,concept,Era Orde Baru,,,
perdagangan nusantara,topic_coarse,Perdagangan Nusantara,,,
komoditas unggulan dari barus,topic_fine,Komoditas unggulan dari Barus,,,
komoditas unggulan barus,concept,Komoditas unggulan Barus,C1-Mengingat,1.0,1.0
kayu gaharu,concept,Kayu gaharu,C1-Mengingat,1.0,1.0
kapur barus,concept,Kapur barus,C1-Mengingat,1.0,1.0
q_975e9748e5,question,"Apa komoditas unggulan yang berasal dari Barus, Sumatra, yang diperdagangkan secara internasional pada masa awal?",C1-Mengingat,1.0,
perdagangan antarpulau,concept,Perdagangan antarpulau,C6-Mencipta,5.0,4.0
jalur perdagangan dunia,concept,Jalur perdagangan dunia,C6-Mencipta,5.0,1.0
kearifan lokal,topic_coarse,Kearifan Lokal,C6-Mencipta,5.0,6.0
filosofi sistem subak bali,topic_fine,Filosofi Sistem Subak Bali,,,
sistem subak,concept,Sistem Subak,C1-Mengingat,1.0,1.0
filosofi,concept,Filosofi,C1-Mengingat,1.0,1.0
bali,concept,Bali,C1-Mengingat,1.0,1.0
q_fc6ba3ad24,question,Apa nama filosofi yang menjadi dasar dari sistem Subak di Bali?,C1-Mengingat,1.0,
peran jenderal jepang dalam ppki,topic_fine,Peran Jenderal Jepang dalam PPKI,,,
jenderal jepang,concept,Jenderal Jepang,C1-Mengingat,1.0,1.0
pemilihan anggota ppki,concept,Pemilihan anggota PPKI,C1-Mengingat,1.0,1.0
q_d505a12d97,question,Siapakah Jenderal Jepang yang berwenang memilih anggota PPKI?,C1-Mengingat,1.0,
proklamasi kemerdekaan indonesia,concept,Proklamasi Kemerdekaan Indonesia,C2-Memahami,3.0,1.0
peran ppki,concept,Peran PPKI,,,
organisasi pergerakan nasional,topic_fine,Organisasi pergerakan nasional,,,
budi utomo,concept,Budi Utomo,C6-Mencipta,5.0,5.0
tahun berdirinya,concept,Tahun Berdirinya,C1-Mengingat,1.0,1.0
q_e6cdaec200,question,Sebutkan tahun berdirinya organisasi Budi Utomo.,C1-Mengingat,1.0,
sejarah perlawanan bangsa indonesia,concept,Sejarah Perlawanan Bangsa Indonesia,,,
sejarah asia,topic_coarse,Sejarah Asia,,,
faktor pendorong nasionalisme asia,topic_fine,Faktor pendorong nasionalisme Asia,,,
nasionalisme asia,concept,Nasionalisme Asia,C6-Mencipta,5.0,5.0
faktor pendorong eksternal,concept,Faktor pendorong eksternal,C1-Mengingat,1.0,1.0
peristiwa tahun 1905,concept,Peristiwa tahun 1905,C1-Mengingat,1.0,1.0
q_235be10c10,question,Peristiwa penting apa yang terjadi pada tahun 1905 yang menjadi faktor pendorong eksternal bagi nasionalisme Asia?,C1-Mengingat,1.0,
faktor pendorong internal nasionalisme asia,concept,Faktor pendorong internal nasionalisme Asia,,,
wilayah perdesaan dan perkotaan,topic_coarse,Wilayah Perdesaan dan Perkotaan,,,
unsur vital desa,topic_fine,Unsur vital desa,C1-Mengingat,1.0,1.0
karakteristik desa,concept,Karakteristik desa,C5-Mengevaluasi,5.0,2.0
q_1155a57216,question,Sebutkan tiga unsur vital yang terdapat pada sebuah desa.,C1-Mengingat,1.0,
perbedaan wilayah desa dan kota,concept,Perbedaan Wilayah Desa dan Kota,,,
pengembangan wilayah perdesaan,concept,Pengembangan wilayah perdesaan,,,
pemanfaatan lahan desa,concept,Pemanfaatan lahan desa,,,
proklamasi kemerdekaan,topic_fine,Proklamasi Kemerdekaan,,,
pengetikan naskah proklamasi,concept,Pengetikan Naskah Proklamasi,C1-Mengingat,1.0,1.0
peristiwa kekosongan kekuasaan,concept,Peristiwa Kekosongan Kekuasaan,C1-Mengingat,1.0,1.0
q_4ef7a1920f,question,Siapakah yang mengetik naskah proklamasi kemerdekaan?,C1-Mengingat,1.0,
peristiwa menjelang kekalahan jepang,concept,Peristiwa menjelang kekalahan Jepang,,,
isi dan makna proklamasi kemerdekaan,concept,Isi dan makna Proklamasi Kemerdekaan,,,
perubahan iklim dan dampak geografis,topic_coarse,Perubahan Iklim dan Dampak Geografis,,,
wilayah kepulauan terdampak kenaikan air laut,topic_fine,Wilayah Kepulauan Terdampak Kenaikan Air Laut,,,
dampak kenaikan permukaan air laut,concept,Dampak kenaikan permukaan air laut,C5-Mengevaluasi,5.0,2.0
wilayah kepulauan indonesia,concept,Wilayah kepulauan Indonesia,C1-Mengingat,1.0,1.0
kepulauan riau,concept,Kepulauan Riau,C1-Mengingat,1.0,1.0
bangka belitung,concept,Bangka Belitung,C1-Mengingat,1.0,1.0
kepulauan seribu,concept,Kepulauan Seribu,C1-Mengingat,1.0,1.0
q_36ebc2e9eb,question,Sebutkan tiga wilayah kepulauan di Indonesia yang terdampak langsung oleh kenaikan permukaan air laut.,C1-Mengingat,1.0,
dampak perubahan iklim terhadap wilayah pesisir,concept,Dampak perubahan iklim terhadap wilayah pesisir,,,
dampak perubahan iklim pada wilayah pesisir daratan,concept,Dampak perubahan iklim pada wilayah pesisir daratan,,,
analisis mitigasi dampak perubahan iklim,concept,Analisis mitigasi dampak perubahan iklim,,,
batas wilayah astronomis,topic_fine,Batas Wilayah Astronomis,,,
batas wilayah paling selatan indonesia,concept,Batas wilayah paling selatan Indonesia,C1-Mengingat,1.0,1.0
lokasi geografis indonesia,concept,Lokasi geografis Indonesia,C1-Mengingat,1.0,1.0
q_60a7d63d4d,question,Pulau apakah yang menjadi batas wilayah paling selatan Indonesia secara astronomis?,C1-Mengingat,1.0,
pengetahuan dasar tentang batas wilayah indonesia,concept,Pengetahuan dasar tentang batas wilayah Indonesia,,,
karakteristik wilayah indonesia,concept,Karakteristik wilayah Indonesia,,,
potensi kerja sama internasional,concept,Potensi kerja sama internasional,C6-Mencipta,5.0,1.0
bahasa dan kosakata,topic_coarse,Bahasa dan Kosakata,,,
definisi kata menurut kbbi,topic_fine,Definisi kata menurut KBBI,,,
hedonisme,concept,Hedonisme,C1-Mengingat,1.0,1.0
q_807e25fbf8,question,"Menurut Kamus Besar Bahasa Indonesia, apa yang dimaksud dengan hedonisme?",C1-Mengingat,1.0,
pengetahuan dasar kosakata bahasa indonesia,concept,Pengetahuan dasar kosakata Bahasa Indonesia,,,
definisi kata lain,concept,Definisi kata lain,,,
pengawasan kegiatan fintech,topic_fine,Pengawasan Kegiatan Fintech,,,
pengawasan fintech,concept,Pengawasan Fintech,C1-Mengingat,1.0,1.0
q_a854f25580,question,Lembaga apakah yang bertugas mengawasi kegiatan fintech di Indonesia?,C1-Mengingat,1.0,
pengertian ekonomi digital,concept,Pengertian Ekonomi Digital,,,
dampak ekonomi digital,concept,Dampak Ekonomi Digital,,,
industrialisasi dan pembangunan,topic_coarse,Industrialisasi dan Pembangunan,,,
prinsip pembangunan industri berkelanjutan,topic_fine,Prinsip Pembangunan Industri Berkelanjutan,,,
aspek ekonomi,concept,Aspek Ekonomi,C4-Menganalisis,4.0,2.0
aspek sosial,concept,Aspek sosial,C1-Mengingat,1.0,1.0
aspek lingkungan,concept,Aspek lingkungan,C1-Mengingat,1.0,1.0
q_b4aaf472f1,question,Sebutkan tiga aspek yang menjadi dasar prinsip-prinsip pembangunan industri berkelanjutan.,C1-Mengingat,1.0,
definisi industrialisasi,concept,Definisi Industrialisasi,,,
tahapan revolusi industri,concept,Tahapan Revolusi Industri,,,
peran tokoh dalam revolusi,topic_fine,Peran Tokoh dalam Revolusi,,,
peran ismail marzuki,concept,Peran Ismail Marzuki,C2-Memahami,2.0,1.0
revolusi sosial,concept,Revolusi Sosial,C6-Mencipta,5.0,2.0
q_4791d73df0,question,Jelaskan peran Ismail Marzuki dalam revolusi!,C2-Memahami,2.0,
pemahaman,method,Pemahaman,,,
latar belakang revolusi nasional,concept,Latar belakang Revolusi Nasional,,,
peran tokoh lain dalam revolusi,concept,Peran tokoh lain dalam Revolusi,,,
aspek-aspek revolusi sosial,concept,Aspek-aspek Revolusi Sosial,,,
perkembangan teknologi dan pasar,topic_fine,Perkembangan Teknologi dan Pasar,,,
perkembangan teknologi,concept,Perkembangan Teknologi,C2-Memahami,2.0,1.0
konsep pasar,concept,Konsep pasar,C2-Memahami,2.0,1.0
q_7408d11cb3,question,Jelaskan bagaimana perkembangan teknologi telah mengubah konsep pasar,C2-Memahami,2.0,
dampak teknologi terhadap perilaku konsumen,concept,Dampak teknologi terhadap perilaku konsumen,,,
struktur pasar,concept,Struktur pasar,,,
perbedaan belanja pemerintah pusat dan transfer ke daerah,topic_fine,Perbedaan Belanja Pemerintah Pusat dan Transfer ke Daerah,,,
belanja pemerintah pusat,concept,Belanja Pemerintah Pusat,C2-Memahami,2.0,1.0
transfer ke daerah,concept,Transfer ke Daerah,C2-Memahami,2.0,1.0
q_c990db6f21,question,Jelaskan perbedaan antara Belanja Pemerintah Pusat dan Transfer ke Daerah!,C2-Memahami,2.0,
membandingkan,method,Membandingkan,,,
pengertian apbn,concept,Pengertian APBN,,,
struktur pendapatan negara,concept,Struktur Pendapatan Negara,,,
perbedaan perubahan sosial cepat dan lambat,topic_fine,Perbedaan Perubahan Sosial Cepat dan Lambat,,,
perubahan sosial cepat (revolusi),concept,Perubahan sosial cepat (revolusi),C2-Memahami,2.0,1.0
perubahan sosial lambat (evolusi),concept,Perubahan sosial lambat (evolusi),C2-Memahami,2.0,1.0
teori evolusionis,concept,Teori Evolusionis,C4-Menganalisis,4.0,2.0
q_ee429ee361,question,Jelaskan perbedaan mendasar antara perubahan sosial cepat (revolusi) dan lambat (evolusi) beserta masing-masing contohny,C2-Memahami,2.0,
analisis dan perbandingan,method,Analisis dan Perbandingan,,,
teori perubahan sosial,concept,Teori Perubahan Sosial,,,
teori perubahan sosial lainnya,concept,Teori Perubahan Sosial lainnya,,,
transaksi berjalan,concept,Transaksi Berjalan,C4-Menganalisis,4.0,2.0
