Konteks;Pertanyaan;Level Kognitif
"Akuntansi didefinisikan sebagai sistem informasi dan ilmu yang mencatat, menganalisis, serta mengomunikasikan transaksi ekonomi suatu entitas bisnis. Tujuannya adalah menghasilkan laporan keuangan yang relevan sebagai dasar pengambilan keputusan, sehingga akuntansi sering disebut sebagai 'bahasa bisnis' (language of business). Manfaat utamanya adalah menyediakan informasi ekonomi, memberi gambaran kondisi perusahaan antarperiode, dan sebagai bentuk pertanggungjawaban. Pihak yang bekerja di bidang ini disebut akuntan.

Dalam akuntansi, transaksi dicatat dalam 'akun' (rekening/perkiraan). Akun terbagi menjadi dua kelompok utama:
1.  **Akun Riil**: Akun yang tercantum dalam laporan posisi keuangan, terdiri dari:
    *   **Aset**: Sumber daya yang dikuasai entitas akibat peristiwa masa lalu dan diharapkan memberi manfaat ekonomi di masa depan. Contoh: Kas, piutang usaha, kendaraan, gedung, peralatan, perlengkapan.
    *   **Liabilitas**: Kewajiban kini entitas yang timbul dari peristiwa masa lalu, yang penyelesaiannya akan mengakibatkan arus keluar sumber daya. Contoh: Utang usaha, utang bank, utang gaji.
    *   **Ekuitas**: Hak residual atas aset entitas setelah dikurangi seluruh liabilitasnya. Ini merupakan sumber dana dari pemilik. Contoh: Modal pemilik, Prive (penarikan pribadi oleh pemilik).
2.  **Akun Nominal**: Akun yang tercantum dalam laporan laba rugi, terdiri dari:
    *   **Pendapatan**: Hasil yang diperoleh dari kegiatan operasional perusahaan. Contoh: Pendapatan jasa, pendapatan penjualan.
    *   **Beban**: Uang yang dikeluarkan untuk menunjang kegiatan operasional. Contoh: Beban gaji, beban sewa, beban listrik.

Setiap pencatatan transaksi harus didasarkan pada 'bukti transaksi' yang sah dan dapat dipertanggungjawabkan. Bukti transaksi dibagi menjadi dua jenis:
*   **Bukti Internal**: Bukti yang bersumber dari dalam perusahaan itu sendiri. Contoh utamanya adalah memo yang dikeluarkan oleh pimpinan.
*   **Bukti Eksternal**: Bukti yang bersumber dari transaksi dengan pihak luar perusahaan. Contohnya adalah nota belanja.";Jika pemilik sebuah toko mengambil sejumlah uang dari kas untuk keperluan pribadi, ke dalam kategori akun riil manakah transaksi 'Prive' ini akan dikelompokkan?;C3-Menerapkan
Interaksi sosial adalah hubungan sosial yang dinamis dan saling memengaruhi, yang terjadi antarperorangan, antarkelompok, maupun antara perorangan dan kelompok. Interaksi ini merupakan syarat utama terjadinya aktivitas dalam kehidupan manusia. Terjadinya interaksi sosial memerlukan dua syarat utama: kontak sosial dan komunikasi. Kontak sosial bisa bersifat langsung (bertemu tatap muka) atau tidak langsung (melalui media perantara seperti telepon atau media sosial). Komunikasi adalah proses penyampaian dan penerimaan pesan (ide), yang dapat berbentuk verbal (lisan dan tulisan) maupun nonverbal (simbol, gestur tubuh, bahasa isyarat). Kunci dari komunikasi adalah adanya penafsiran dan reaksi terhadap pesan yang diterima. Interaksi sosial terbagi menjadi dua bentuk utama. Pertama, interaksi sosial asosiatif yang mengarah pada persatuan, meliputi: 1) Kerja sama, yaitu usaha bersama untuk mencapai tujuan bersama, contohnya gotong royong. 2) Akomodasi, yaitu upaya meredakan pertentangan untuk mencapai keseimbangan, contohnya mediasi oleh ketua RT untuk menyelesaikan perselisihan warga. 3) Akulturasi, yaitu perpaduan dua kebudayaan berbeda menjadi kebudayaan baru dengan tetap mempertahankan unsur kebudayaan asli. Kedua, interaksi sosial disosiatif yang mengarah pada perpecahan, meliputi: 1) Persaingan (kompetisi), yaitu usaha menunjukkan keunggulan untuk mencapai tujuan tanpa ancaman atau kekerasan, contohnya pertandingan sepak bola. 2) Kontravensi, yaitu perasaan tidak suka atau tidak percaya yang disembunyikan terhadap pihak lain. 3) Pertentangan (konflik), yaitu usaha menyingkirkan lawan yang seringkali disertai dengan ancaman dan kekerasan.;Sebuah tarian modern dikombinasikan dengan musik gamelan tradisional, namun ciri khas keduanya masih terlihat. Fenomena ini merupakan contoh dari bentuk interaksi apa?;C3-Menerapkan
Menjelang pertengahan tahun 1945, posisi Jepang dalam Perang Dunia II semakin terdesak. Pada 6 Agustus 1945, bom atom dijatuhkan di Hiroshima, disusul bom kedua di Nagasaki pada 9 Agustus 1945. Peristiwa ini memaksa Jepang menyerah tanpa syarat kepada Sekutu pada 15 Agustus 1945. Berita kekalahan Jepang ini didengar oleh para pemuda pejuang Indonesia melalui siaran radio luar negeri, yang kemudian menciptakan situasi 'kekosongan kekuasaan' (vacuum of power) di Indonesia. Momentum ini memicu perbedaan pendapat tajam antara golongan muda dan golongan tua. Golongan muda, dipimpin oleh tokoh seperti Sutan Sjahrir dan Chaerul Saleh, berpandangan bahwa kemerdekaan harus segera diproklamasikan tanpa campur tangan Jepang untuk menunjukkan bahwa kemerdekaan adalah hasil perjuangan bangsa sendiri. Sebaliknya, golongan tua, yang diwakili oleh Soekarno dan Mohammad Hatta, menginginkan proklamasi dilakukan secara terstruktur melalui Panitia Persiapan Kemerdekaan Indonesia (PPKI), sebuah badan bentukan Jepang, untuk menghindari pertumpahan darah. Puncak ketegangan terjadi pada 16 Agustus 1945 dini hari, ketika golongan muda membawa paksa Soekarno dan Hatta ke Rengasdengklok, Karawang. Peristiwa ini dikenal sebagai Peristiwa Rengasdengklok, yang bertujuan menjauhkan kedua tokoh dari pengaruh Jepang dan mendesak mereka untuk segera memproklamasikan kemerdekaan. Setelah negosiasi yang alot dan jaminan dari Achmad Soebardjo bahwa proklamasi akan dilaksanakan esok hari, Soekarno-Hatta akhirnya kembali ke Jakarta. Malam itu juga, di rumah Laksamana Tadashi Maeda (seorang perwira tinggi Angkatan Laut Jepang yang bersimpati pada perjuangan Indonesia) di Jalan Imam Bonjol No. 1, naskah proklamasi dirumuskan. Soekarno menulis konsepnya, sedangkan Hatta dan Achmad Soebardjo menyumbangkan pemikiran. Naskah yang ditulis tangan Soekarno tersebut kemudian diketik oleh Sayuti Melik dengan beberapa perubahan, seperti 'tempoh' menjadi 'tempo' dan penambahan 'atas nama bangsa Indonesia, Soekarno-Hatta'. Proklamasi Kemerdekaan Indonesia akhirnya dibacakan oleh Soekarno, didampingi oleh Mohammad Hatta, pada hari Jumat, 17 Agustus 1945, pukul 10.00 WIB di kediaman Soekarno, Jalan Pegangsaan Timur No. 56, Jakarta. Acara tersebut diakhiri dengan pengibaran bendera Merah Putih yang dijahit oleh Ibu Fatmawati, dengan pengibar bendera adalah Latief Hendraningrat dan Suhud Sastro Kusumo.;Jika Anda seorang penyiar radio pada Agustus 1945 yang baru mendengar berita kekalahan Jepang, bagaimana Anda akan menyusun berita tersebut untuk membangkitkan semangat kemerdekaan?;C3-Menerapkan
"Orde Baru memprioritaskan stabilitas politik dan rehabilitasi ekonomi melalui konsep Trilogi Pembangunan (Stabilitas, Pertumbuhan, Pemerataan) yang diwujudkan dalam Repelita (Rencana Pembangunan Lima Tahun) . Untuk stabilitas, negara diperkuat melalui 5 pilar: (1) Dwifungsi ABRI, di mana militer (ABRI) berperan dalam pertahanan (hankam) dan sosial-politik; (2) Kemenangan Golkar pada Pemilu 1971; (3) Fusi (Penyederhanaan) Partai pada 1973, yang memaksa partai Islam bergabung ke PPP dan partai nasionalis/non-Islam ke PDI ; (4) Indoktrinasi melalui Pedoman P4 ; dan (5) Asas Tunggal Pancasila (1985) yang mewajibkan semua ormas memakai Pancasila sebagai satu-satunya asas. Meski berhasil swasembada beras (1984) , kebijakan Orba sangat bergantung pada utang luar negeri (lewat IGGI) dan memicu kesenjangan serta KKN.";Pemerintah fokus pada pembangunan pertanian untuk mencapai swasembada beras. Terapkan konteks, ini adalah implementasi dari program apa?;C3-Menerapkan
"Teks ini membahas perbedaan dan pengembangan wilayah perdesaan dan perkotaan. Pemanfaatan lahan di desa didominasi oleh pertanian (padi, jagung), sementara di kota berfokus pada hunian padat, bisnis, dan jasa. Terdapat tren demografis di mana persentase penduduk desa menurun (dari 50,2% tahun 2010 menjadi prediksi 33,4% tahun 2035) dan penduduk kota meningkat (dari 49,8% tahun 2010 menjadi prediksi 66,6% tahun 2035), yang menyebabkan perluasan wilayah kota dan penyediaan fasilitas urban. Secara etimologis, 'desa' berasal dari bahasa India 'swadesi' (tanah leluhur). Menurut UU No. 6 Tahun 2014, desa adalah kesatuan masyarakat hukum dengan batas wilayah yang berwenang mengatur urusannya sendiri. Ahli seperti Bintarto mendefinisikannya sebagai wujud geografis dari berbagai unsur, sementara Finch menyebutnya sebagai kesatuan lokasi tempat tinggal non-perdagangan. 'Perdesaan' didefinisikan sebagai kawasan dengan kegiatan utama pertanian dan pengelolaan sumber daya alam. Desa memiliki lima karakteristik utama: 1) Sistem sosial yang terikat adat dan tradisi; 2) Hubungan kekerabatan yang kuat untuk penyelesaian masalah; 3) Basis kegiatan masyarakat pada sektor ekonomi primer (pertanian, peternakan, perikanan); 4) Hubungan masyarakat yang erat dengan ciri khas gotong royong; 5) Struktur kependudukan dengan kepadatan rendah. Tiga unsur vital desa adalah Daerah (lokasi, lahan), Penduduk (jumlah, kepadatan, mata pencaharian), dan Tata Kehidupan (pola interaksi, budaya, gotong royong). Berdasarkan tingkat kemajuan, desa di Indonesia (total 74.961) diklasifikasikan menjadi tiga, salah satunya adalah Desa Mandiri (atau desa sembada). Desa Mandiri adalah desa maju yang mampu melaksanakan pembangunan untuk kesejahteraan masyarakat, dicirikan oleh pelayanan dasar memadai, infrastruktur baik, dan pemerintahan yang sangat baik. Kriteria untuk Desa Mandiri adalah memiliki Indeks Desa Membangun (IDM) > 0,8155. Jumlah desa mandiri meningkat dari 6.064 pada 2015 menjadi 6.238 pada 2022. Contohnya adalah Desa Julubori di Kabupaten Gowa.";Sebuah program pemerintah bertujuan meningkatkan 'tata kehidupan' di sebuah desa. Kegiatan apa yang relevan untuk diusulkan berdasarkan definisi unsur vital tersebut?;C3-Menerapkan
Setelah proklamasi, terjadi vacuum of power (kekosongan kekuasaan) karena Jepang telah menyerah namun Sekutu belum datang. Jepang diperintahkan Sekutu untuk menjaga status quo (tidak mengubah kondisi) dan mencegah kemerdekaan Indonesia. Kedatangan AFNEI (pasukan Sekutu/Inggris) pimpinan Sir Philip Christison pada September 1945 awalnya bertujuan melucuti tentara Jepang dan membebaskan tawanan perang (RAPWI). Namun, kedatangan mereka diboncengi oleh NICA (Belanda) yang berniat mengembalikan kekuasaan kolonial. Hal ini memicu kecurigaan dan perlawanan fisik di berbagai daerah. Pertempuran di Surabaya (10 November 1945) dipicu oleh tewasnya Brigadir Jenderal Mallaby dan ultimatum Sekutu, yang dijawab dengan perlawanan heroik yang dipimpin oleh Bung Tomo, dan kini diperingati sebagai Hari Pahlawan. Di Ambarawa (Palagan Ambarawa), pasukan TKR yang dipimpin Kolonel Soedirman berhasil memukul mundur Sekutu, yang kini diperingati sebagai Hari Juang Kartika. Peristiwa Bandung Lautan Api (23 Maret 1946) terjadi ketika TRI (Tentara Republik Indonesia) dan rakyat mematuhi ultimatum Sekutu untuk mengosongkan kota Bandung, namun mereka menerapkan taktik bumi hangus dengan membakar kota agar tidak dapat dimanfaatkan oleh Sekutu/NICA.;Sebuah pertempuran dipimpin oleh Kolonel Soedirman untuk mengusir Sekutu. Peristiwa apa yang dimaksud?;C3-Menerapkan
Pemberdayaan masyarakat dalam konteks keuangan dimulai dari pemahaman bahwa untuk memenuhi kebutuhan tak terbatas, manusia memerlukan uang yang diperoleh dari pendapatan. Masalah keuangan sering timbul saat pendapatan lebih kecil dari kebutuhan, yang mendorong masyarakat mengambil pinjaman dan berpotensi menimbulkan masalah baru. Oleh karena itu, penting untuk memahami konsep dasar pengelolaan keuangan, yang mencakup uang, pendapatan, tabungan, dan investasi. 1. Uang: Uang adalah alat pembayaran sah yang memiliki satuan hitung dan diterima secara umum. Sebelum ada uang, masyarakat menggunakan sistem barter (tukar-menukar barang) yang memiliki kelemahan, seperti sulit menemukan kesamaan keinginan dan menentukan standar nilai. Di Indonesia, uang dibedakan menjadi dua: uang kartal (logam dan kertas yang diterbitkan pemerintah) dan uang giral (simpanan di bank yang dapat dicairkan melalui cek atau giro). 2. Pendapatan: Pendapatan adalah hasil dalam bentuk uang yang diperoleh individu atau perusahaan dari pekerjaan atau penyediaan faktor produksi. Besarnya pendapatan tidak menjamin kecukupan, karena pengelolaan yang baik lebih menentukan. Ada dua hukum terkait pendapatan: a. Hukum Engel: Semakin kecil pendapatan, semakin besar porsinya digunakan untuk konsumsi. Sebaliknya, semakin besar pendapatan, semakin besar porsinya ditujukan untuk tabungan. b. Teori Keynes: Setiap pertambahan pendapatan (âˆ†Y) akan menyebabkan pertambahan konsumsi (âˆ†C) dan pertambahan tabungan (âˆ†S), yang dirumuskan sebagai âˆ†Y = âˆ†C + âˆ†S. 3. Tabungan: Tabungan adalah bagian dari pendapatan yang tidak digunakan untuk konsumsi atau keperluan lain. Menabung di bank kini lebih populer daripada di rumah karena lebih aman dari risiko pencurian atau bencana, serta dijamin oleh Lembaga Penjamin Simpanan (LPS) hingga Rp2 miliar. Manfaat menabung antara lain melatih hidup hemat, menyediakan dana darurat, dan meminimalkan utang. 4. Investasi: Berbeda dengan tabungan yang bertujuan menyimpan uang, investasi bertujuan untuk meningkatkan nilai tambah uang guna memperoleh imbal hasil (laba, dividen, bunga). Instrumen investasi populer meliputi saham, obligasi, dan reksadana. Masyarakat perlu waspada terhadap investasi bodong dengan ciri-ciri: imbal hasil terlalu tinggi dalam waktu singkat, informasi perusahaan tidak jelas, mengharuskan mencari anggota baru, dan dipromosikan oleh tokoh terkenal. Investasi dapat dimulai dengan modal kecil, seperti reksadana (mulai dari Rp10.000) atau emas. Nilai emas cenderung naik, seperti contoh Lili yang membeli emas 1 gram seharga Rp701.000 pada tahun 2018 dan menjualnya seharga Rp1.007.000 pada tahun 2020, menghasilkan keuntungan Rp306.000.;Seorang teman menawarimu sebuah produk investasi yang menjanjikan keuntungan 50% dalam satu bulan. Berdasarkan ciri-ciri investasi bodong yang disebutkan, tindakan apa yang sebaiknya kamu lakukan?;C3-Menerapkan
"Anggaran Pendapatan dan Belanja Daerah (APBD) adalah rencana keuangan tahunan Pemerintah Daerah (Pemda) yang disusun sebagai pedoman penyelenggaraan pemerintahan di daerah. Sama seperti APBN, APBD berfungsi sebagai alat alokasi, distribusi, dan stabilisasi di tingkat regional. Strukturnya terdiri dari tiga komponen utama: (1) Pendapatan Daerah, yang berasal dari PAD (Pendapatan Asli Daerah, seperti Pajak Daerah dan Retribusi Daerah) , Pendapatan Transfer (dana dari pemerintah pusat seperti DAU dan DAK) , dan pendapatan lain yang sah; (2) Belanja Daerah (meliputi belanja operasional, modal, dll.) ; dan (3) Pembiayaan Daerah (untuk menutup defisit atau memanfaatkan surplus). Proses penyusunannya melibatkan Kepala Daerah (Gubernur/Bupati/Walikota) yang mengajukan Rencana APBD (RAPBD) untuk dibahas dan disetujui bersama oleh DPRD.";Pemerintah daerah memungut biaya parkir di tepi jalan umum. Terapkan konteks, ini termasuk dalam komponen Pendapatan Daerah yang mana? ;C3-Menerapkan
Flora dan fauna memiliki manfaat vital bagi kesejahteraan manusia di bidang kesehatan, ekonomi, dan pelestarian lingkungan. Namun, keberlangsungan keragaman hayati di Indonesia terancam oleh berbagai masalah ekonomi, budaya, dan hukum, sehingga diperlukan upaya pelestarian untuk mencegah kepunahan. Salah satu upaya utamanya adalah melalui konservasi. Menurut UU No. 05 Tahun 1990, konservasi didefinisikan sebagai upaya pelestarian sumber daya alam hayati secara berkelanjutan untuk memelihara dan mewujudkan keseimbangan ekosistem. Secara umum, konservasi adalah pengelolaan biosfer secara aktif untuk menjaga keanekaragaman flora dan fauna. Terdapat tiga tujuan utama konservasi: 1) Menjamin kelestarian fungsi ekosistem sebagai penyangga kehidupan, 2) Mencegah kepunahan spesies akibat kerusakan habitat dan pemanfaatan tak terkendali, dan 3) Menyediakan sumber plasma nutfah atau keanekaragaman genetika. Sebagai studi kasus, Harimau Sumatra (Panthera tigris sumatrae) adalah subspesies harimau terakhir di Indonesia setelah kepunahan Harimau Bali (dinyatakan punah 1940-an) dan Harimau Jawa (tak terlihat sejak 1980-an). Populasi Harimau Sumatra mengalami penurunan drastis: dari sekitar 1.000 individu pada akhir 1970-an, menjadi 400-500 individu pada awal 1990-an, dan estimasi terbaru (2007) dari Kementerian Lingkungan Hidup dan Kehutanan hanya tersisa sekitar 250 ekor di 8 kawasan teridentifikasi, dengan para ahli meyakini populasi total tidak lebih dari estimasi tahun 1990-an.;Jika Anda seorang aktivis lingkungan, bagaimana Anda akan menggunakan data penurunan populasi harimau untuk sebuah kampanye kesadaran publik?;C3-Menerapkan
Pendudukan Jepang di Indonesia dimulai setelah Belanda menyerah tanpa syarat pada 8 Maret 1942 di Kalijati. Untuk menarik simpati, Jepang melancarkan propaganda seperti 'Gerakan 3A' (Nippon Pemimpin, Pelindung, dan Cahaya Asia) dan menyebut diri sebagai 'Saudara Tua' yang membebaskan Indonesia dari penjajahan Barat. Secara administratif, Jepang membentuk pemerintahan militer yang membagi Indonesia menjadi tiga wilayah: Pemerintahan Militer Angkatan Darat (Rikugun) Tentara ke-25 untuk Sumatra (pusat di Bukittinggi) dan Tentara ke-16 untuk Jawa-Madura (pusat di Jakarta), serta Pemerintahan Militer Angkatan Laut (Kaigun) Armada Selatan ke-2 untuk Kalimantan, Sulawesi, dan Indonesia Timur (pusat di Makassar). Kekuasaan tertinggi dipegang oleh panglima tentara yang disebut Gunseikan. Struktur pemerintahan sipil dirombak total, mengubah tingkatan dari Karesidenan (Shu), Kotapraja (Shi), Kabupaten (Ken), Kawedanan (Gun), Kecamatan (Son), hingga Desa (Ku) untuk kontrol yang lebih ketat. Kebijakan ekonomi Jepang berfokus pada eksploitasi untuk kepentingan Perang Asia Timur Raya, yang diwujudkan melalui sistem kerja paksa (Romusha) untuk proyek infrastruktur perang dan kerja bakti tanpa upah (Kinrohoshi). Rakyat juga diwajibkan menyetor padi, yang menyebabkan kelaparan. Di bidang sosial-budaya, Jepang memberlakukan Seikerei, yaitu kewajiban membungkuk ke arah matahari terbit sebagai penghormatan kepada Kaisar Jepang, yang menimbulkan pertentangan religius. Untuk memobilisasi dukungan rakyat, Jepang mendirikan berbagai organisasi, seperti Putera (Pusat Tenaga Rakyat) yang dipimpin 'Empat Serangkai' (Soekarno, Hatta, Ki Hajar Dewantara, K.H. Mas Mansyur). Namun, karena Putera dianggap lebih menguntungkan Indonesia, Jepang membubarkannya dan membentuk Jawa Hokokai (Himpunan Kebaktian Jawa) yang diawasi lebih ketat. Menjelang akhir perang, Jepang menjanjikan kemerdekaan dan membentuk BPUPKI (Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia) pada 1 Maret 1945 untuk merumuskan dasar negara dan UUD, yang kemudian dilanjutkan oleh PPKI (Panitia Persiapan Kemerdekaan Indonesia). Pendudukan Jepang memiliki dampak ganda: di satu sisi membawa penderitaan luar biasa melalui eksploitasi dan penindasan, namun di sisi lain secara tidak langsung mempercepat proses kemerdekaan dengan memberikan pelatihan militer (PETA, Heiho), memberi panggung politik bagi tokoh nasionalis, dan menciptakan kekosongan kekuasaan (vacuum of power) saat mereka kalah perang.;Seorang camat (Soncho) menerima perintah dari atasannya (Guncho) untuk mengumpulkan data pemuda di wilayahnya. Tunjukkan bagaimana perintah ini dapat dihubungkan dengan kebutuhan Jepang akan tenaga kerja paksa.;C3-Menerapkan
"Neraca pembayaran, menurut International Monetary Fund (IMF), adalah catatan sistematis dari semua transaksi ekonomi internasional suatu negara dengan negara lain dalam periode tertentu. Transaksi ini melibatkan penduduk dan non-penduduk, mencakup barang, jasa, pendapatan, transfer, serta kewajiban finansial. Pencatatan dalam neraca pembayaran terbagi menjadi dua jenis. Pertama, transaksi debit, yaitu transaksi yang menimbulkan kewajiban pembayaran ke luar negeri (aliran dana keluar). Contohnya adalah kegiatan impor, investasi penduduk ke luar negeri, pengeluaran uang ke luar negeri, pemberian hibah, dan pembelian saham dari luar negeri. Kedua, transaksi kredit, yaitu transaksi yang membuat negara menerima pembayaran dari luar negeri (aliran dana masuk). Contohnya meliputi kegiatan ekspor, pendapatan investasi dari luar negeri, penerimaan uang atau hibah dari luar negeri, dan penjualan saham ke luar negeri. Menurut Bank Indonesia, tujuan penyusunan neraca pembayaran adalah untuk: 1) Memberi informasi posisi pembayaran internasional kepada pemerintah, 2) Membantu penetapan kebijakan fiskal, moneter, dan perdagangan, 3) Mengukur utang dan piutang negara, serta 4) Mengukur kondisi ekonomi dan posisi keuangan internasional. Neraca pembayaran Indonesia memiliki tiga komponen utama. Pertama, Transaksi Berjalan (Current Account) yang terdiri dari: a) Neraca Perdagangan (ekspor dan impor barang), yang bisa surplus (ekspor > impor), defisit (ekspor < impor), atau seimbang; b) Neraca Jasa (pariwisata, asuransi); c) Pendapatan Primer (kompensasi tenaga kerja, pendapatan investasi); dan d) Pendapatan Sekunder (misalnya, transfer dari TKI). Kedua, Transaksi Modal, yang mencatat penerimaan dan pembayaran penanaman modal. Ketiga, Transaksi Finansial, yang mencatat investasi langsung (direct investment), investasi portofolio, dan investasi lainnya.";Sebuah perusahaan Indonesia mengimpor mesin produksi dari Jepang. Tentukan apakah transaksi ini dicatat sebagai debit atau kredit dan berikan alasannya.;C3-Menerapkan
"Setelah Proklamasi 17 Agustus 1945, langkah krusial pembentukan negara dimulai oleh Panitia Persiapan Kemerdekaan Indonesia (PPKI). Dalam Sidang PPKI I (18 Agustus 1945), tiga keputusan fundamental diambil: (1) Mengesahkan UUD 1945 sebagai konstitusi negara; (2) Mengangkat Soekarno sebagai Presiden dan Moh. Hatta sebagai Wakil Presiden; serta (3) Membentuk Komite Nasional Indonesia Pusat (KNIP) untuk membantu Presiden. Sidang PPKI II (19 Agustus 1945) melanjutkan pembangunan struktur, menetapkan 12 Kementerian dan membagi wilayah Indonesia menjadi 8 Provinsi. Sidang PPKI III (22 Agustus 1945) mengamanatkan pembentukan Komite Nasional di daerah, Partai Nasional Indonesia (PNI) yang awalnya dirancang sebagai partai tunggal, dan Badan Keamanan Rakyat (BKR) sebagai cikal bakal militer. Namun, sistem pemerintahan segera berubah. Maklumat Wakil Presiden No. X (16 Oktober 1945) mengubah fungsi KNIP dari pembantu Presiden menjadi badan legislatif. Perubahan drastis terjadi melalui Maklumat Pemerintah 14 November 1945, yang menggeser sistem pemerintahan dari Presidensial (dipimpin Presiden) menjadi Parlementer (dipimpin Perdana Menteri), dengan Sutan Sjahrir ditunjuk sebagai Perdana Menteri pertama.";Sebuah badan keamanan dibentuk hanya untuk menjaga keamanan lokal. Terapkan konteks, badan apa yang dimaksud?;C3-Menerapkan
"Lingkungan hidup adalah kesatuan ruang dengan segala benda, daya, keadaan, dan makhluk hidup, termasuk manusia dan perilakunya, yang memengaruhi kelangsungan kehidupan dan kesejahteraan. Ilmu yang mempelajarinya disebut ekologi, yang fokus pada interaksi antara komponen biotik (hidup) dan abiotik (tak hidup). Ekosistem adalah komunitas makhluk hidup (tumbuhan, hewan) yang berinteraksi dengan unsur tak hidup di lingkungannya. Untuk menjaga keberlanjutan ekosistem, diperlukan etika lingkungan, yaitu prinsip moral yang menjadi petunjuk perilaku manusia dalam berinteraksi dengan lingkungan hidupnya (aspek abiotik, biotik, dan budaya). Lingkungan hidup terbagi menjadi tiga jenis utama. Pertama, lingkungan biotik (hayati) yang terdiri dari semua makhluk hidup dan diklasifikasikan menjadi tiga peran: 1) Produsen, organisme yang dapat membuat makanannya sendiri seperti tumbuhan hijau melalui fotosintesis; 2) Konsumen, organisme yang bergantung pada organisme lain untuk makanan, seperti manusia dan hewan; dan 3) Pengurai (decomposer), organisme yang menguraikan bahan organik mati, contohnya bakteri dan jamur. Kedua, lingkungan abiotik (fisik) yang terdiri dari benda mati yang memengaruhi kehidupan, seperti air, tanah (sumber mineral), udara (sumber gas penting), cahaya matahari (sumber energi utama), kelembapan, suhu, dan iklim. Ketiga, lingkungan sosial budaya, yang mencakup lingkungan sosial (interaksi antarmanusia beserta norma dan aturan) dan lingkungan budaya (hasil daya cipta manusia seperti bangunan, seni, dan sistem kepercayaan). Ketiga unsur ini saling memengaruhi, dengan manusia sebagai agen perubahan yang dominan. Berdasarkan campur tangan manusia, lingkungan hidup dibedakan menjadi dua: 1) Lingkungan hidup alami, yang terbentuk melalui proses alam tanpa campur tangan manusia (contoh: gunung, danau, hutan). 2) Lingkungan hidup buatan, yang sengaja dibuat manusia dengan teknologi untuk memenuhi kebutuhan (contoh: jalan, sekolah, taman, kawasan industri), dengan karakteristik kurang beragam.";Bayangkan sebuah proyek pembangunan sekolah baru. Tunjukkan bagaimana proyek ini menciptakan lingkungan buatan dan berpotensi memengaruhi lingkungan alami di sekitarnya!;C3-Menerapkan
Latar belakang ekspansi Jepang ke Asia Tenggara didorong oleh modernisasi era Restorasi Meiji yang memicu kebutuhan besar akan sumber daya alam, terutama minyak bumi, karet, dan timah untuk industri perangnya. Ideologi Hakko Ichiu, yang berarti 'Delapan Penjuru Dunia di Bawah Satu Atap', menjadi pembenaran untuk menciptakan 'Kawasan Kemakmuran Bersama Asia Timur Raya'. Pemicu langsung Perang Pasifik adalah embargo minyak bumi yang diberlakukan oleh Amerika Serikat pada Agustus 1941, yang mengancam kelangsungan mesin perang Jepang. Sebagai respons, Jepang melancarkan serangan mendadak ke pangkalan angkatan laut Amerika Serikat di Pearl Harbor, Hawaii, pada 7 Desember 1941, yang secara resmi memulai perang di front Pasifik. Sehari setelahnya, pada 8 Desember 1941, Jepang mulai menyerang wilayah-wilayah di Asia Tenggara, termasuk Hindia Belanda. Untuk memenangkan hati rakyat Indonesia, Jepang melancarkan propaganda masif dengan slogan 'Asia untuk Bangsa Asia' dan mengklaim diri sebagai 'Saudara Tua' yang datang untuk membebaskan Indonesia dari penjajahan Barat. Propaganda ini disebarluaskan melalui Gerakan Tiga A (Nippon Pemimpin Asia, Nippon Pelindung Asia, dan Nippon Cahaya Asia). Serangan militer Jepang ke Hindia Belanda berlangsung cepat dan efektif. Mereka pertama kali mendarat di Tarakan, Kalimantan Timur, pada Januari 1942 untuk menguasai sumber minyak. Penaklukan berjalan cepat ke wilayah lain seperti Balikpapan, Palembang, dan akhirnya Pulau Jawa. Menghadapi kekuatan Jepang yang superior, pasukan Sekutu (ABDACOM) tidak mampu bertahan. Pada tanggal 8 Maret 1942, Panglima Tertinggi Hindia Belanda, Letnan Jenderal Hein ter Poorten, menyerah tanpa syarat kepada Jenderal Hitoshi Imamura di Kalijati, Subang, Jawa Barat. Perjanjian Kalijati ini secara resmi menandai berakhirnya kekuasaan kolonial Belanda selama 350 tahun dan dimulainya periode pendudukan Jepang di Indonesia. Reaksi awal bangsa Indonesia terhadap kedatangan Jepang beragam, namun pada umumnya disambut dengan harapan sebagai pembebas. Namun, realitas pendudukan segera menunjukkan sifat aslinya yang eksploitatif. Jepang membubarkan semua organisasi politik dan sosial yang ada, lalu membentuk organisasi-organisasi baru di bawah kendalinya untuk memobilisasi massa demi kepentingan perang, seperti PUTERA (Pusat Tenaga Rakyat) dan Jawa Hokokai. Eksploitasi ekonomi dilakukan secara masif melalui sistem kerja paksa (romusha) dan kewajiban menyerahkan sebagian besar hasil panen kepada Jepang, yang menyebabkan kelaparan dan penderitaan meluas.;Jika Anda adalah seorang jurnalis pada tahun 1942, tulislah sebuah judul berita yang menggambarkan peristiwa Perjanjian Kalijati berdasarkan informasi yang tersedia.;C3-Menerapkan
