source,target,relation,weight
konsumsi,penyedia faktor produksi,peer,1
konsumsi,q_1f6b80e6a4,has_question,1
konsumsi,analisis pola konsumsi,successor,1
konsumsi,kebutuhan,peer,1
konsumsi,vitamin,peer,1
konsumsi,q_d0219a87f1,has_question,1
konsumsi,perilaku konsumen,successor,1
konsumsi,status sosial,peer,1
konsumsi,faktor eksternal,peer,1
konsumsi,kebudayaan,peer,1
produksi,q_e15c0ff2c4,has_question,1
produksi,interaksi antar pelaku ekonomi,successor,1
produksi,pelaku ekonomi,peer,1
produksi,konsumsi,peer,2
produksi,distribusi,peer,2
produksi,q_81041a0178,has_question,1
produksi,faktor-faktor produksi,successor,1
produksi,kegiatan ekonomi,peer,1
distribusi,q_e15c0ff2c4,has_question,1
distribusi,interaksi antar pelaku ekonomi,successor,1
distribusi,pelaku ekonomi,peer,1
distribusi,konsumsi,peer,2
distribusi,produksi,peer,2
distribusi,q_81041a0178,has_question,1
distribusi,faktor-faktor produksi,successor,1
distribusi,kegiatan ekonomi,peer,1
geografi fisik,pembagian benua dan batasnya,has_subtopic,1
geografi fisik,faktor persebaran flora dan fauna,has_subtopic,1
geografi fisik,klasifikasi laut berdasarkan letak,has_subtopic,1
geografi fisik,karakteristik dan julukan benua,has_subtopic,1
geografi fisik,pengaruh kondisi geologis wilayah,has_subtopic,1
geografi fisik,aktivitas tektonik dan vulkanisme,has_subtopic,1
geografi fisik,dampak fenomena iklim global,has_subtopic,1
geografi fisik,posisi geologis dan dampaknya,has_subtopic,1
pembagian benua dan batasnya,benua eropa,has_concept,1
pembagian benua dan batasnya,benua asia,has_concept,1
pembagian benua dan batasnya,batas geografis,has_concept,1
benua eropa,q_41f8cf5080,has_question,1
benua eropa,perbandingan karakteristik benua,successor,1
benua eropa,benua asia,peer,1
benua eropa,batas geografis,peer,1
benua asia,q_41f8cf5080,has_question,1
benua asia,perbandingan karakteristik benua,successor,1
benua asia,benua eropa,peer,1
benua asia,batas geografis,peer,1
benua asia,q_61c249f9ab,has_question,1
benua asia,analisis dampak perubahan iklim terhadap keanekaragaman hayati,successor,1
benua asia,habitat tropis,peer,1
benua asia,megafauna,peer,1
benua asia,benua afrika,peer,1
batas geografis,q_41f8cf5080,has_question,1
batas geografis,perbandingan karakteristik benua,successor,1
batas geografis,benua eropa,peer,1
batas geografis,benua asia,peer,1
pengenalan benua,benua eropa,prerequisite,1
pengenalan benua,benua asia,prerequisite,1
pengenalan benua,batas geografis,prerequisite,1
pengenalan benua,iklim kutub,prerequisite,1
pengenalan benua,iklim gurun,prerequisite,1
pengenalan benua,benua,prerequisite,1
pengenalan benua,karakteristik geografis,prerequisite,1
perubahan sosial dan mobilitas,upward mobility,has_concept,1
perubahan sosial dan mobilitas,downward mobility,has_concept,1
upward mobility,q_55fbbf4729,has_question,1
upward mobility,dampak mobilitas sosial,successor,1
upward mobility,downward mobility,peer,1
downward mobility,q_55fbbf4729,has_question,1
downward mobility,dampak mobilitas sosial,successor,1
downward mobility,upward mobility,peer,1
konsep dasar perubahan sosial,upward mobility,prerequisite,1
konsep dasar perubahan sosial,downward mobility,prerequisite,1
konsep dasar perubahan sosial,perubahan sosial cepat (revolusi),prerequisite,1
konsep dasar perubahan sosial,perubahan sosial lambat (evolusi),prerequisite,1
konsep dasar perubahan sosial,perbedaan perubahan sosial,prerequisite,1
harmoni sosial,peran generasi muda dalam harmoni,has_subtopic,2
harmoni sosial,bentuk partisipasi generasi muda,has_subtopic,1
harmoni sosial,langkah aksi sosial terstruktur,has_subtopic,1
harmoni sosial,hubungan harmonis dengan alam,has_subtopic,1
harmoni sosial,q_9e123b33f6,has_question,1
harmoni sosial,implementasi nilai harmoni dalam kehidupan,successor,1
harmoni sosial,hubungan dengan alam,peer,1
harmoni sosial,pencegahan perpecahan,peer,1
harmoni sosial,q_32098d208e,has_question,1
harmoni sosial,dampak konflik sosial,successor,1
harmoni sosial,primordialisme,peer,1
harmoni sosial,integrasi sosial,peer,2
harmoni sosial,partisipasi generasi muda,has_subtopic,2
harmoni sosial,aksi edukasi pencegahan disintegrasi,has_subtopic,1
harmoni sosial,q_4b1b0e0d1c,has_question,1
harmoni sosial,monitoring aksi edukasi,successor,1
harmoni sosial,evaluasi dampak sosial,successor,1
harmoni sosial,identifikasi gejala sosial,peer,2
harmoni sosial,keahlian desain grafis,peer,1
harmoni sosial,pencegahan hoaks,peer,1
harmoni sosial,langkah membangun harmoni sosial,has_subtopic,1
harmoni sosial,q_d0084599fb,has_question,1
harmoni sosial,pelaksanaan aksi terstruktur,successor,1
harmoni sosial,disintegrasi sosial,peer,2
harmoni sosial,ketimpangan,peer,1
harmoni sosial,q_2955f1ef56,has_question,1
harmoni sosial,strategi penguatan integrasi sosial,successor,1
harmoni sosial,politik identitas,peer,1
harmoni sosial,perpecahan masyarakat,peer,1
harmoni sosial,proses pembangunan harmoni sosial,has_subtopic,2
harmoni sosial,risiko kampanye sosial,has_subtopic,1
harmoni sosial,q_fe77a0b11d,has_question,1
harmoni sosial,implementasi kebijakan berkelanjutan,successor,1
harmoni sosial,hubungan antarmanusia,peer,1
harmoni sosial,harmoni dengan alam,peer,1
harmoni sosial,kesejahteraan bersama,peer,1
harmoni sosial,q_229dede19e,has_question,1
harmoni sosial,implementasi aksi sosial,successor,1
harmoni sosial,monitoring dan evaluasi,successor,1
harmoni sosial,analisis swot,peer,1
harmoni sosial,perencanaan aksi terstruktur,peer,1
harmoni sosial,kelemahan analisis,peer,1
harmoni sosial,q_2f0da1f44d,has_question,1
harmoni sosial,kolaborasi,successor,1
harmoni sosial,pemberdayaan,successor,1
harmoni sosial,kampanye sosial,peer,2
harmoni sosial,dialog,peer,1
harmoni sosial,q_40de98cbd6,has_question,1
harmoni sosial,implementasi program sosial,successor,2
harmoni sosial,keadilan sosial,peer,1
harmoni sosial,pengurangan kesenjangan,peer,1
harmoni sosial,perencanaan program,peer,1
harmoni sosial,q_f301920942,has_question,1
harmoni sosial,implementasi dan pelaporan program,successor,1
harmoni sosial,perencanaan kegiatan,peer,1
harmoni sosial,identifikasi isu sosial,peer,1
harmoni sosial,evaluasi program,peer,1
harmoni sosial,partisipasi generasi muda digital,has_subtopic,1
harmoni sosial,q_571c632728,has_question,1
harmoni sosial,audiensi publik,peer,1
harmoni sosial,teknologi digital,peer,1
harmoni sosial,tantangan sosial era digital,has_subtopic,1
harmoni sosial,q_81908a9a65,has_question,1
harmoni sosial,implementasi solusi digital,successor,1
harmoni sosial,isu sosial digital,peer,1
peran generasi muda dalam harmoni,kampanye sosial,has_concept,2
peran generasi muda dalam harmoni,penyebarluasan informasi,has_concept,1
peran generasi muda dalam harmoni,dialog,has_concept,1
peran generasi muda dalam harmoni,harmoni sosial,has_concept,1
peran generasi muda dalam harmoni,partisipasi generasi muda,has_concept,1
kampanye sosial,q_40a318eed0,has_question,1
kampanye sosial,berdialog,successor,2
kampanye sosial,penyebarluasan informasi,peer,2
kampanye sosial,q_338796832e,has_question,1
kampanye sosial,berkolaborasi,successor,1
kampanye sosial,q_1efbdbb3d0,has_question,1
kampanye sosial,evaluasi efektivitas partisipasi,successor,1
kampanye sosial,audiensi publik,peer,2
kampanye sosial,pengumpulan masukan,peer,1
kampanye sosial,partisipasi sosial,peer,1
kampanye sosial,q_9c74c75757,has_question,1
kampanye sosial,evaluasi program pencegahan,successor,1
kampanye sosial,pengembangan kebijakan sekolah,successor,1
kampanye sosial,duta pelajar antikekerasan,peer,1
kampanye sosial,efektivitas intervensi sosial,peer,1
kampanye sosial,perilaku siswa,peer,1
kampanye sosial,q_eaf6ec4691,has_question,1
kampanye sosial,strategi mitigasi misinformasi,successor,1
kampanye sosial,misinformasi,peer,1
kampanye sosial,partisipasi generasi muda,peer,2
kampanye sosial,peran ahli,peer,1
kampanye sosial,q_2f0da1f44d,has_question,1
kampanye sosial,kolaborasi,successor,1
kampanye sosial,pemberdayaan,successor,1
kampanye sosial,dialog,peer,1
kampanye sosial,harmoni sosial,peer,2
kampanye sosial,q_3104263256,has_question,1
kampanye sosial,implementasi program pemberdayaan,successor,1
kampanye sosial,kearifan lokal,peer,1
kampanye sosial,perubahan sosial,peer,1
kampanye sosial,globalisasi,peer,1
kampanye sosial,q_571c632728,has_question,1
kampanye sosial,implementasi program sosial,successor,1
kampanye sosial,teknologi digital,peer,1
kampanye sosial,q_2f34145a45,has_question,1
kampanye sosial,implementasi kebijakan lingkungan,successor,1
kampanye sosial,ekonomi sirkular,peer,1
kampanye sosial,pembangunan berkelanjutan,peer,1
kampanye sosial,daur ulang pet,peer,1
penyebarluasan informasi,q_40a318eed0,has_question,1
penyebarluasan informasi,berdialog,successor,2
penyebarluasan informasi,kampanye sosial,peer,2
penyebarluasan informasi,q_338796832e,has_question,1
penyebarluasan informasi,berkolaborasi,successor,1
berdialog,kampanye sosial,prerequisite,1
berdialog,audiensi publik,prerequisite,1
berdialog,teknologi digital,prerequisite,1
berdialog,harmoni sosial,prerequisite,1
ilmu sejarah,definisi dan konsep sejarah,has_subtopic,2
ilmu sejarah,unsur-unsur penting dalam sejarah,has_subtopic,1
ilmu sejarah,unsur dan sumber sejarah,has_subtopic,1
ilmu sejarah,asal usul istilah sejarah,has_subtopic,1
ilmu sejarah,ciri-ciri peristiwa sejarah,has_subtopic,2
ilmu sejarah,pendekatan dalam kajian sejarah,has_subtopic,1
ilmu sejarah,sumber dan jenis sejarah,has_subtopic,1
ilmu sejarah,unsur-unsur dalam peristiwa sejarah,has_subtopic,1
ilmu sejarah,metode pengumpulan sumber sejarah,has_subtopic,1
ilmu sejarah,analisis sumber sejarah,has_subtopic,1
ilmu sejarah,konsep dasar penulisan sejarah,has_subtopic,1
ilmu sejarah,ciri dan unsur peristiwa sejarah,has_subtopic,2
ilmu sejarah,perbandingan sumber sejarah,has_subtopic,1
ilmu sejarah,sumber sejarah dan analisis,has_subtopic,1
ilmu sejarah,objektivitas sumber sejarah,has_subtopic,1
ilmu sejarah,penerapan prinsip sejarah modern,has_subtopic,1
definisi dan konsep sejarah,definisi sejarah,has_concept,1
definisi dan konsep sejarah,e.h. carr,has_concept,1
definisi dan konsep sejarah,definisi sejarah e.h. carr,has_concept,1
definisi dan konsep sejarah,definisi sejarah jackson j. spielvogel,has_concept,1
definisi dan konsep sejarah,perbandingan definisi sejarah,has_concept,1
definisi sejarah,q_f7ded43964,has_question,1
definisi sejarah,interpretasi sejarah,successor,1
definisi sejarah,e.h. carr,peer,1
definisi sejarah,unsur penting sejarah,prerequisite,1
definisi sejarah,ruang,prerequisite,1
definisi sejarah,waktu,prerequisite,1
definisi sejarah,manusia,prerequisite,1
definisi sejarah,unsur ruang,prerequisite,1
definisi sejarah,unsur waktu,prerequisite,1
definisi sejarah,unsur manusia,prerequisite,1
definisi sejarah,ciri unik sejarah,prerequisite,1
definisi sejarah,ciri abadi sejarah,prerequisite,1
definisi sejarah,ciri penting sejarah,prerequisite,1
definisi sejarah,penerapan konsep sejarah,prerequisite,1
definisi sejarah,kritik terhadap mitos dalam sejarah,prerequisite,1
definisi sejarah,peran kuntowijoyo,prerequisite,1
definisi sejarah,perbandingan penulisan sejarah sebelum herodotus,prerequisite,1
definisi sejarah,ciri peristiwa sejarah,prerequisite,1
definisi sejarah,cerita rakyat,prerequisite,1
definisi sejarah,kepemilikan bersama masyarakat,prerequisite,1
definisi sejarah,q_a0c2421db7,has_question,1
definisi sejarah,analisis sumber sejarah,successor,1
definisi sejarah,pendekatan pengajaran sejarah,peer,1
definisi sejarah,evaluasi konsep,peer,1
definisi sejarah,spielvogel vs carr,peer,1
definisi sejarah,prinsip sejarah,prerequisite,1
definisi sejarah,metode penelitian sejarawan,prerequisite,1
definisi sejarah,peristiwa terkini,prerequisite,1
definisi sejarah,film dokumenter,prerequisite,1
e.h. carr,q_f7ded43964,has_question,1
e.h. carr,interpretasi sejarah,successor,1
e.h. carr,definisi sejarah,peer,1
kegiatan ekonomi,jenis-jenis kegiatan ekonomi,has_subtopic,2
kegiatan ekonomi,q_81041a0178,has_question,1
kegiatan ekonomi,faktor-faktor produksi,successor,2
kegiatan ekonomi,produksi,peer,1
kegiatan ekonomi,distribusi,peer,1
kegiatan ekonomi,konsumsi,peer,2
kegiatan ekonomi,peran distribusi dalam produksi,has_subtopic,1
kegiatan ekonomi,q_1658285a8c,has_question,1
kegiatan ekonomi,analisis perubahan kurva penawaran,successor,1
kegiatan ekonomi,hukum penawaran,peer,1
kegiatan ekonomi,permintaan,peer,1
kegiatan ekonomi,harga keseimbangan,peer,1
kegiatan ekonomi,status sosial,prerequisite,1
kegiatan ekonomi,faktor eksternal,prerequisite,1
kegiatan ekonomi,kebudayaan,prerequisite,1
kegiatan ekonomi,sistem produksi sederhana,prerequisite,1
kegiatan ekonomi,pembuatan kompos,prerequisite,1
jenis-jenis kegiatan ekonomi,kegiatan ekonomi,has_concept,1
jenis-jenis kegiatan ekonomi,produksi,has_concept,1
jenis-jenis kegiatan ekonomi,distribusi,has_concept,1
jenis-jenis kegiatan ekonomi,konsumsi,has_concept,2
jenis-jenis kegiatan ekonomi,kebutuhan,has_concept,1
jenis-jenis kegiatan ekonomi,vitamin,has_concept,1
jenis-jenis kegiatan ekonomi,basis ekonomi wilayah,prerequisite,1
jenis-jenis kegiatan ekonomi,tingkat kepadatan penduduk,prerequisite,1
jenis-jenis kegiatan ekonomi,hubungan sebab-akibat,prerequisite,1
kebutuhan manusia,kegiatan ekonomi,prerequisite,1
kebutuhan manusia,produksi,prerequisite,1
kebutuhan manusia,distribusi,prerequisite,1
kebutuhan manusia,konsumsi,prerequisite,1
kebutuhan manusia,sistem pertukaran barang,prerequisite,1
kebutuhan manusia,uang,prerequisite,1
kebutuhan manusia,q_14de18f900,has_question,1
kebutuhan manusia,analisis rantai pasok,successor,1
kebutuhan manusia,kegiatan distribusi,peer,1
kebutuhan manusia,keberlangsungan produksi,peer,1
kebutuhan manusia,q_860673e78b,has_question,1
kebutuhan manusia,perkembangan sistem pembayaran,successor,1
kebutuhan manusia,sistem barter,peer,3
kebutuhan manusia,efektivitas ekonomi,peer,1
kebutuhan manusia,penciptaan uang,prerequisite,1
kebutuhan manusia,alat tukar,prerequisite,1
kebutuhan manusia,q_70ba4b4cbe,has_question,1
kebutuhan manusia,sistem pembayaran modern,successor,1
kebutuhan manusia,teori nilai tukar,successor,1
kebutuhan manusia,efisiensi ekonomi,peer,1
kebutuhan manusia,negara modern,peer,1
faktor-faktor produksi,q_dee28877e1,has_question,1
faktor-faktor produksi,analisis efisiensi produksi,successor,1
faktor-faktor produksi,sistem produksi sederhana,peer,1
faktor-faktor produksi,pembuatan kompos,peer,1
unsur-unsur penting dalam sejarah,unsur penting sejarah,has_concept,1
unsur-unsur penting dalam sejarah,ruang,has_concept,1
unsur-unsur penting dalam sejarah,waktu,has_concept,1
unsur-unsur penting dalam sejarah,manusia,has_concept,1
unsur penting sejarah,q_48edb9a6e0,has_question,1
unsur penting sejarah,analisis peristiwa sejarah,successor,1
unsur penting sejarah,ruang,peer,1
unsur penting sejarah,waktu,peer,1
unsur penting sejarah,manusia,peer,1
ruang,q_48edb9a6e0,has_question,1
ruang,analisis peristiwa sejarah,successor,1
ruang,unsur penting sejarah,peer,1
ruang,waktu,peer,1
ruang,manusia,peer,1
waktu,q_48edb9a6e0,has_question,1
waktu,analisis peristiwa sejarah,successor,1
waktu,unsur penting sejarah,peer,1
waktu,ruang,peer,1
waktu,manusia,peer,1
manusia,q_48edb9a6e0,has_question,1
manusia,analisis peristiwa sejarah,successor,1
manusia,unsur penting sejarah,peer,1
manusia,ruang,peer,1
manusia,waktu,peer,1
perkembangan nasionalisme indonesia,budi utomo,has_concept,1
perkembangan nasionalisme indonesia,pendirian organisasi,has_concept,1
perkembangan nasionalisme indonesia,sarekat islam (si),has_concept,1
perkembangan nasionalisme indonesia,organisasi cikal bakal,has_concept,1
perkembangan nasionalisme indonesia,sarekat islam,has_concept,1
perkembangan nasionalisme indonesia,organisasi massa,has_concept,1
perkembangan nasionalisme indonesia,fondasi negara majemuk,has_concept,1
perkembangan nasionalisme indonesia,signifikansi politik,has_concept,1
perkembangan nasionalisme indonesia,indoktrinasi jepang,prerequisite,1
perkembangan nasionalisme indonesia,nasionalisme terselubung,prerequisite,1
perkembangan nasionalisme indonesia,kurikulum sejarah lokal,prerequisite,1
budi utomo,q_4f66e03deb,has_question,1
budi utomo,peran organisasi pergerakan nasional,successor,1
budi utomo,pendirian organisasi,peer,1
budi utomo,q_e6cdaec200,has_question,1
budi utomo,perkembangan organisasi modern,successor,1
budi utomo,organisasi pergerakan nasional,peer,1
budi utomo,q_93c57bf8e3,has_question,1
budi utomo,perkembangan politik indonesia,successor,1
budi utomo,sarekat dagang islam (sdi),peer,1
budi utomo,fokus perjuangan awal,peer,1
budi utomo,q_2655d95fd0,has_question,1
budi utomo,perkembangan politik indonesia abad ke-20,successor,1
budi utomo,sarekat islam,peer,1
budi utomo,perluasan keanggotaan,peer,1
budi utomo,faktor pendorong nasionalisme,peer,1
budi utomo,q_a3334459e3,has_question,1
budi utomo,perkembangan organisasi modern indonesia,successor,1
budi utomo,fokus regional jawa dan madura,peer,1
budi utomo,kelemahan strategis,peer,1
budi utomo,langkah awal realistis,peer,1
budi utomo,q_4ecd063558,has_question,1
budi utomo,implementasi program pembangunan daerah,successor,1
budi utomo,nasionalisme indonesia,peer,1
budi utomo,pembangunan daerah tertinggal,peer,1
budi utomo,inovasi organisasi mahasiswa,peer,1
pendirian organisasi,q_4f66e03deb,has_question,1
pendirian organisasi,peran organisasi pergerakan nasional,successor,1
pendirian organisasi,budi utomo,peer,1
kesadaran politik,budi utomo,prerequisite,1
kesadaran politik,pendirian organisasi,prerequisite,1
kesadaran politik,indische partij,prerequisite,1
kesadaran politik,nasionalisme indonesia,prerequisite,1
kesadaran politik,persatuan hindia belanda,prerequisite,1
kesadaran politik,sarekat islam (si),prerequisite,1
kesadaran politik,organisasi cikal bakal,prerequisite,1
pendudukan jepang di indonesia,struktur pemerintahan terkecil jepang,has_concept,2
pendudukan jepang di indonesia,tonarigumi,has_concept,2
pendudukan jepang di indonesia,organisasi militer jepang,has_concept,2
pendudukan jepang di indonesia,organisasi semimiliter jepang,has_concept,2
pendudukan jepang di indonesia,sistem ekonomi perang jepang,prerequisite,1
pendudukan jepang di indonesia,mandiri daerah,prerequisite,1
pendudukan jepang di indonesia,peta,has_concept,2
pendudukan jepang di indonesia,heiho,has_concept,2
pendudukan jepang di indonesia,tujuan jepang,has_concept,2
pendudukan jepang di indonesia,propaganda jepang,has_concept,1
pendudukan jepang di indonesia,kebijakan romusha,has_concept,1
pendudukan jepang di indonesia,praktik seikerei,has_concept,1
pendudukan jepang di indonesia,kontradiksi ideologi,has_concept,1
pendudukan jepang di indonesia,kebijakan seikerei,prerequisite,1
pendudukan jepang di indonesia,resistensi sosial,prerequisite,1
pendudukan jepang di indonesia,dampak politik jepang,prerequisite,1
struktur pemerintahan terkecil jepang,q_77120dcca9,has_question,1
struktur pemerintahan terkecil jepang,dampak politik pendudukan jepang,successor,1
struktur pemerintahan terkecil jepang,tonarigumi,peer,1
tonarigumi,q_77120dcca9,has_question,1
tonarigumi,dampak politik pendudukan jepang,successor,1
tonarigumi,struktur pemerintahan terkecil jepang,peer,1
dampak politik pendudukan jepang,organisasi bentukan jepang,has_concept,1
dampak politik pendudukan jepang,organisasi pergerakan nasional,has_concept,1
dampak politik pendudukan jepang,perbandingan dampak politik,has_concept,1
jenis status sosial,q_b172846220,has_question,1
jenis status sosial,peran sosial,successor,1
jenis status sosial,status sosial,peer,1
peran sosial,q_27e25160ad,has_question,1
peran sosial,jenis-jenis status sosial,successor,1
peran sosial,status sosial,peer,4
peran sosial,hubungan status dan peran,peer,1
peran sosial,konflik peran,prerequisite,2
peran sosial,ketegangan peran,prerequisite,1
peran sosial,q_10dcd737e8,has_question,1
peran sosial,analisis dampak komunitas,successor,1
peran sosial,komunitas,peer,2
peran sosial,pembangunan berkelanjutan,peer,2
peran sosial,q_5536f04a24,has_question,1
peran sosial,analisis dampak sosial lingkungan,successor,1
peran sosial,q_f4281ce2f0,has_question,1
peran sosial,dampak status sosial dalam masyarakat,successor,1
peran sosial,assigned status,peer,1
peran sosial,achieved status,peer,1
peran sosial,q_8f0105dbcd,has_question,1
peran sosial,stratifikasi sosial,successor,1
peran sosial,prestise sosial,peer,1
peran sosial,marginalisasi sosial,peer,1
peran sosial,q_7d83cd92e9,has_question,1
peran sosial,dinamika perubahan peran sosial,successor,1
letak astronomis dan geografis,letak astronomis indonesia,has_concept,1
letak astronomis dan geografis,koordinat indonesia,has_concept,1
koordinat indonesia,q_d784751079,has_question,1
koordinat indonesia,pengaruh letak astronomis terhadap iklim,successor,1
koordinat indonesia,letak astronomis indonesia,peer,1
pengertian letak geografis,letak astronomis indonesia,prerequisite,1
pengertian letak geografis,koordinat indonesia,prerequisite,1
pengertian letak geografis,letak astronomis,prerequisite,1
pengertian letak geografis,letak geografis,prerequisite,1
pengertian letak geografis,pengaruh ekonomi,prerequisite,1
pengertian letak geografis,gunung api aktif,prerequisite,1
pengertian letak geografis,dampak alam,prerequisite,1
pengertian letak geografis,evaluasi kondisi alam,prerequisite,1
pengaruh letak astronomis terhadap iklim,angin muson barat laut,has_concept,1
pengaruh letak astronomis terhadap iklim,angin muson tenggara,has_concept,1
pengaruh letak astronomis terhadap iklim,pengaruh musim di indonesia,has_concept,1
sejarah perkembangan bumi,zaman arkaekum,has_concept,1
sejarah perkembangan bumi,munculnya kehidupan,has_concept,1
zaman arkaekum,q_1c22b45a9e,has_question,1
zaman arkaekum,zaman proterozoikum,successor,1
zaman arkaekum,munculnya kehidupan,peer,1
zaman arkaekum,q_9ff480878d,has_question,1
zaman arkaekum,zaman proterozoikum dan selanjutnya,successor,1
zaman arkaekum,zaman geologis,peer,1
zaman arkaekum,evolusi kehidupan,peer,1
zaman arkaekum,interaksi manusia dan alam,peer,1
munculnya kehidupan,q_1c22b45a9e,has_question,1
munculnya kehidupan,zaman proterozoikum,successor,1
munculnya kehidupan,zaman arkaekum,peer,1
pembentukan bumi,zaman arkaekum,prerequisite,1
pembentukan bumi,munculnya kehidupan,prerequisite,1
stratifikasi dan struktur sosial,stratifikasi sosial,has_concept,1
stratifikasi dan struktur sosial,penghargaan berdasarkan kinerja,has_concept,1
stratifikasi sosial,q_1facd3afdf,has_question,1
stratifikasi sosial,mobilitas sosial,successor,3
stratifikasi sosial,penghargaan berdasarkan kinerja,peer,1
stratifikasi sosial,q_045a4fb6f9,has_question,1
stratifikasi sosial,jenis-jenis stratifikasi sosial,successor,1
stratifikasi sosial,nilai dalam masyarakat,peer,1
stratifikasi sosial,struktur sosial,peer,3
stratifikasi sosial,q_ff8174e8e8,has_question,1
stratifikasi sosial,dinamika perubahan sosial,successor,2
stratifikasi sosial,selo soemardjan,peer,1
stratifikasi sosial,soelaeman soemardi,peer,1
stratifikasi sosial,q_41661fd9a6,has_question,1
stratifikasi sosial,stratifikasi sosial terbuka,peer,1
stratifikasi sosial,stratifikasi sosial tertutup,peer,1
stratifikasi sosial,q_e5ba0d0f7e,has_question,1
stratifikasi sosial,organisasi sosial,peer,1
stratifikasi sosial,q_e589cb2e7d,has_question,1
stratifikasi sosial,ilmu pengetahuan (pendidikan),peer,1
stratifikasi sosial,posisi sosial,peer,1
stratifikasi sosial,dunia kerja,peer,1
stratifikasi sosial,q_7f5ce0df9b,has_question,1
stratifikasi sosial,perubahan struktur sosial,successor,2
stratifikasi sosial,stratifikasi berbasis kehormatan,peer,1
stratifikasi sosial,dampak sosial,peer,1
stratifikasi sosial,q_4bf5d71e7d,has_question,1
stratifikasi sosial,analisis efektivitas model organisasi,successor,1
stratifikasi sosial,struktur organisasi,peer,1
stratifikasi sosial,hierarki kekuasaan,peer,1
stratifikasi sosial,organisasi berbasis keahlian,peer,1
stratifikasi sosial,q_06060fe421,has_question,1
stratifikasi sosial,analisis ketidaksetaraan sosial,successor,1
stratifikasi sosial,diferensiasi sosial,peer,1
stratifikasi sosial,profesi,peer,1
penghargaan berdasarkan kinerja,q_1facd3afdf,has_question,1
penghargaan berdasarkan kinerja,mobilitas sosial,successor,1
penghargaan berdasarkan kinerja,stratifikasi sosial,peer,1
struktur sosial,stratifikasi sosial,prerequisite,6
struktur sosial,penghargaan berdasarkan kinerja,prerequisite,1
struktur sosial,q_045a4fb6f9,has_question,1
struktur sosial,nilai dalam masyarakat,prerequisite,2
struktur sosial,jenis-jenis stratifikasi sosial,successor,1
struktur sosial,q_ff8174e8e8,has_question,1
struktur sosial,dinamika perubahan sosial,successor,2
struktur sosial,selo soemardjan,peer,1
struktur sosial,soelaeman soemardi,peer,1
struktur sosial,stratifikasi sosial terbuka,prerequisite,2
struktur sosial,stratifikasi sosial tertutup,prerequisite,1
struktur sosial,karakteristik masyarakat desa,has_subtopic,1
struktur sosial,q_e5ba0d0f7e,has_question,1
struktur sosial,organisasi sosial,peer,1
struktur sosial,q_56d65d2b09,has_question,1
struktur sosial,dinamika perubahan struktur sosial,successor,1
struktur sosial,meritokrasi,peer,1
mobilitas sosial,q_f4887f4fd8,has_question,1
mobilitas sosial,implementasi kebijakan sosial,successor,1
mobilitas sosial,dampak positif perubahan sosial,peer,1
mobilitas sosial,permasalahan sosial,peer,1
mobilitas sosial,kebijakan kepemimpinan,peer,1
sosiologi digital,prinsip interaksi dunia digital,has_subtopic,1
prinsip interaksi dunia digital,prinsip interaksi dunia digital,has_concept,1
prinsip interaksi dunia digital,mike ribble,has_concept,2
prinsip interaksi dunia digital,q_f022e35c5c,has_question,1
prinsip interaksi dunia digital,dampak teknologi informasi,successor,1
mike ribble,q_f022e35c5c,has_question,1
mike ribble,dampak teknologi informasi,successor,1
mike ribble,prinsip interaksi dunia digital,peer,1
masyarakat jaringan,prinsip interaksi dunia digital,prerequisite,1
masyarakat jaringan,mike ribble,prerequisite,1
masyarakat jaringan,q_a3d4ce5c8e,has_question,1
masyarakat jaringan,dampak sosial era informasi,successor,1
masyarakat jaringan,konsep jaringan castells,peer,1
masyarakat jaringan,prinsip respect ribble,peer,1
masyarakat jaringan,q_eea82b8a15,has_question,1
masyarakat jaringan,transformasi budaya digital,successor,1
masyarakat jaringan,gaya hidup dinamis,peer,1
masyarakat jaringan,budaya lokal,peer,1
masyarakat jaringan,evaluasi dampak,peer,1
masyarakat jaringan,q_b7cb707750,has_question,1
masyarakat jaringan,implementasi kode etik digital,successor,1
masyarakat jaringan,kode etik warganet,peer,1
masyarakat jaringan,prinsip mike ribble,peer,1
ilmu geografi,objek kajian geografi,has_subtopic,1
ilmu geografi,pendekatan lingkungan dalam geografi,has_subtopic,1
ilmu geografi,pendekatan dalam studi geografi,has_subtopic,3
ilmu geografi,interaksi sistem bumi dan manusia,has_subtopic,1
ilmu geografi,pendekatan kewilayahan dan analisis fenomena,has_subtopic,1
objek kajian geografi,lapisan air bumi,has_concept,1
objek kajian geografi,sungai dan laut,has_concept,1
objek kajian geografi,q_bd53e85fdc,has_question,1
objek kajian geografi,pendekatan kewilayahan,prerequisite,4
objek kajian geografi,komprehensivitas studi geografi,prerequisite,2
objek kajian geografi,jenis-jenis pendekatan geografi,successor,1
objek kajian geografi,analisis keruangan,prerequisite,1
objek kajian geografi,analisis lingkungan,prerequisite,1
objek kajian geografi,fenomena banjir rob,prerequisite,1
objek kajian geografi,pendekatan keruangan,prerequisite,2
objek kajian geografi,pendekatan lingkungan,prerequisite,2
objek kajian geografi,prioritas masalah daerah,prerequisite,1
lapisan air bumi,q_79e224a976,has_question,1
lapisan air bumi,objek formal geografi,successor,1
lapisan air bumi,sungai dan laut,peer,1
sungai dan laut,q_79e224a976,has_question,1
sungai dan laut,objek formal geografi,successor,1
